QuestionID,validPoll,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Franklin D. Roosevelt,Wendell Willkie,Other / Undecided
USROPER.40-021.R15BC,False,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the foreign policy we should pursue,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (28%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-206.Q5A,True,"AS IT LOOKS NOW, DO YOU INTEND TO VOTE FOR ROOSEVELT OR FOR WILLKIE (FOR PRESIDENT 1940) THIS FALL?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.,41.0,44.0,15.0
USGALLUP.40-219.QT02B,False,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",,Asked of Form T half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote.",0.0,0.0,0.0
USROPER.40-021.R15BE,False,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... That the rights of labor should be preserved,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (21%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-209.QT03A,False,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie... A) Willkie is just the man the country needs for President during the next four years, B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt, C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these, D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country?",,Asked of Form T half sample,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National Adult,4545,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-206.Q5C,False,DO YOU THINK IT WOULD BE A BAD THING FOR THE COUNTRY IF (OPPONENT NOT VOTING FOR PRESIDENT 1940) IS ELECTED (ROOSEVELT OR WILLKIE)?,,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-221.Q02B,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/25/1940,10/29/1940,Y,National Adult,3161,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USGALLUP.40-214.QKT02A,True,"If the Presidential election were held today, would you vote for Roosevelt, or Willkie, or would you just not vote?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/7/1940,10/15/1940,Y,National Adult,6236,,Face-to-face interview,,49.0,43.0,8.0
USROPER.40-021.R15AF,False,Do you think that Roosevelt and Willkie agree... on the best way to solve unemployment... or do you think they disagree?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-221.Q05,False,"Which candidate for President do you think is more likely to keep us out of war--Roosevelt, or Willkie?",,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/25/1940,10/29/1940,Y,National Adult,3161,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
