DATE,A229RX0Q048SBEA
1947-01-01,10311.0
1947-04-01,10165.0
1947-07-01,10388.0
1947-10-01,10195.0
1948-01-01,10343.0
1948-04-01,10621.0
1948-07-01,10748.0
1948-10-01,10758.0
1949-01-01,10500.0
1949-04-01,10510.0
1949-07-01,10533.0
1949-10-01,10545.0
1950-01-01,11312.0
1950-04-01,11239.0
1950-07-01,11331.0
1950-10-01,11349.0
1951-01-01,11313.0
1951-04-01,11519.0
1951-07-01,11597.0
1951-10-01,11522.0
1952-01-01,11470.0
1952-04-01,11570.0
1952-07-01,11753.0
1952-10-01,11950.0
1953-01-01,12047.0
1953-04-01,12159.0
1953-07-01,12045.0
1953-10-01,11949.0
1954-01-01,11958.0
1954-04-01,11921.0
1954-07-01,11992.0
1954-10-01,12163.0
1955-01-01,12309.0
1955-04-01,12531.0
1955-07-01,12705.0
1955-10-01,12791.0
1956-01-01,12866.0
1956-04-01,12936.0
1956-07-01,12942.0
1956-10-01,13077.0
1957-01-01,13060.0
1957-04-01,13098.0
1957-07-01,13106.0
1957-10-01,12959.0
1958-01-01,12797.0
1958-04-01,12836.0
1958-07-01,13062.0
1958-10-01,13201.0
1959-01-01,13221.0
1959-04-01,13382.0
1959-07-01,13307.0
1959-10-01,13343.0
1960-01-01,13418.0
1960-04-01,13424.0
1960-07-01,13382.0
1960-10-01,13324.0
1961-01-01,13405.0
1961-04-01,13556.0
1961-07-01,13679.0
1961-10-01,13886.0
1962-01-01,13973.0
1962-04-01,14075.0
1962-07-01,14096.0
1962-10-01,14164.0
1963-01-01,14240.0
1963-04-01,14325.0
1963-07-01,14426.0
1963-10-01,14605.0
1964-01-01,14844.0
1964-04-01,15196.0
1964-07-01,15339.0
1964-10-01,15459.0
1965-01-01,15598.0
1965-04-01,15731.0
1965-07-01,16107.0
1965-10-01,16378.0
1966-01-01,16499.0
1966-04-01,16500.0
1966-07-01,16650.0
1966-10-01,16794.0
1967-01-01,17005.0
1967-04-01,17098.0
1967-07-01,17212.0
1967-10-01,17289.0
1968-01-01,17540.0
1968-04-01,17788.0
1968-07-01,17797.0
1968-10-01,17886.0
1969-01-01,17894.0
1969-04-01,18028.0
1969-07-01,18344.0
1969-10-01,18430.0
1970-01-01,18577.0
1970-04-01,18748.0
1970-07-01,18983.0
1970-10-01,18872.0
1971-01-01,19190.0
1971-04-01,19413.0
1971-07-01,19455.0
1971-10-01,19621.0
1972-01-01,19664.0
1972-04-01,19821.0
1972-07-01,20154.0
1972-10-01,20907.0
1973-01-01,21020.0
1973-04-01,21150.0
1973-07-01,21193.0
