QuestionID_x,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,QuestionID_y,isValid
USNORC.440229.R05B,Roosevelt will do more for the poorer people,61,Which man do you think will do more for the poorer people in this country--Roosevelt or Dewey?,,,10/31/1944,National Opinion Research Center (NORC),,NORC Pre-Election Survey 1944,10/1/1944,10/31/1944,Y,National adult,2564,,Face-to-face interview,,,True
USNORC.440229.R05B,Dewey will do more for the poorer people,25,Which man do you think will do more for the poorer people in this country--Roosevelt or Dewey?,,,10/31/1944,National Opinion Research Center (NORC),,NORC Pre-Election Survey 1944,10/1/1944,10/31/1944,Y,National adult,2564,,Face-to-face interview,,,True
USNORC.440229.R05B,No difference in what they will do for the poorer people (Vol.),8,Which man do you think will do more for the poorer people in this country--Roosevelt or Dewey?,,,10/31/1944,National Opinion Research Center (NORC),,NORC Pre-Election Survey 1944,10/1/1944,10/31/1944,Y,National adult,2564,,Face-to-face interview,,,True
USNORC.440229.R05B,Don't know who will do more for the poorer people,7,Which man do you think will do more for the poorer people in this country--Roosevelt or Dewey?,,,10/31/1944,National Opinion Research Center (NORC),,NORC Pre-Election Survey 1944,10/1/1944,10/31/1944,Y,National adult,2564,,Face-to-face interview,,,True
USOPOR.44-031.Q06A,"Roosevelt will see to it that not matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security",41,"Here are some arguments made by people who intend to vote for President (Franklin D.) Roosevelt.  Whether or not you think you will vote for Roosevelt, please look over these arguments and tell me which ones you think are good as arguments go.  Choose as many or as few as you want to.  If you don't think any of them are good, please say so....(Franklin D.) Roosevelt will see to it that no matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security.  Because of Roosevelt's experience, it would be better to have him than (Thomas) Dewey represent this country at the peace table after the war.  Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe.  The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over the would probably not make as good peace arrangements as the Democrats.",* Adds to more than 100% due to multiple responses.,,08/31/1944,Office of Public Opinion Research,,Office of Public Opinion Research Roosevelt Survey,08/25/1944,08/30/1944,Y,National Adult,411,,Face-to-face interview,,,False
USOPOR.44-031.Q06A,"Because of Roosevelt's experience, it would be better to have him than Dewey represent this country at the peace table after the war",57,"Here are some arguments made by people who intend to vote for President (Franklin D.) Roosevelt.  Whether or not you think you will vote for Roosevelt, please look over these arguments and tell me which ones you think are good as arguments go.  Choose as many or as few as you want to.  If you don't think any of them are good, please say so....(Franklin D.) Roosevelt will see to it that no matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security.  Because of Roosevelt's experience, it would be better to have him than (Thomas) Dewey represent this country at the peace table after the war.  Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe.  The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over the would probably not make as good peace arrangements as the Democrats.",* Adds to more than 100% due to multiple responses.,,08/31/1944,Office of Public Opinion Research,,Office of Public Opinion Research Roosevelt Survey,08/25/1944,08/30/1944,Y,National Adult,411,,Face-to-face interview,,,False
USOPOR.44-031.Q06A,"Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have  to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe",44,"Here are some arguments made by people who intend to vote for President (Franklin D.) Roosevelt.  Whether or not you think you will vote for Roosevelt, please look over these arguments and tell me which ones you think are good as arguments go.  Choose as many or as few as you want to.  If you don't think any of them are good, please say so....(Franklin D.) Roosevelt will see to it that no matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security.  Because of Roosevelt's experience, it would be better to have him than (Thomas) Dewey represent this country at the peace table after the war.  Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe.  The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over the would probably not make as good peace arrangements as the Democrats.",* Adds to more than 100% due to multiple responses.,,08/31/1944,Office of Public Opinion Research,,Office of Public Opinion Research Roosevelt Survey,08/25/1944,08/30/1944,Y,National Adult,411,,Face-to-face interview,,,False
USOPOR.44-031.Q06A,The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over they would probably not make as good peace arrangements as the Democrats,29,"Here are some arguments made by people who intend to vote for President (Franklin D.) Roosevelt.  Whether or not you think you will vote for Roosevelt, please look over these arguments and tell me which ones you think are good as arguments go.  Choose as many or as few as you want to.  If you don't think any of them are good, please say so....(Franklin D.) Roosevelt will see to it that no matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security.  Because of Roosevelt's experience, it would be better to have him than (Thomas) Dewey represent this country at the peace table after the war.  Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe.  The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over the would probably not make as good peace arrangements as the Democrats.",* Adds to more than 100% due to multiple responses.,,08/31/1944,Office of Public Opinion Research,,Office of Public Opinion Research Roosevelt Survey,08/25/1944,08/30/1944,Y,National Adult,411,,Face-to-face interview,,,False
USOPOR.44-031.Q06A,,20,"Here are some arguments made by people who intend to vote for President (Franklin D.) Roosevelt.  Whether or not you think you will vote for Roosevelt, please look over these arguments and tell me which ones you think are good as arguments go.  Choose as many or as few as you want to.  If you don't think any of them are good, please say so....(Franklin D.) Roosevelt will see to it that no matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security.  Because of Roosevelt's experience, it would be better to have him than (Thomas) Dewey represent this country at the peace table after the war.  Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe.  The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over the would probably not make as good peace arrangements as the Democrats.",* Adds to more than 100% due to multiple responses.,,08/31/1944,Office of Public Opinion Research,,Office of Public Opinion Research Roosevelt Survey,08/25/1944,08/30/1944,Y,National Adult,411,,Face-to-face interview,,,False
USOPOR.44-031.Q06A,No opinion,5,"Here are some arguments made by people who intend to vote for President (Franklin D.) Roosevelt.  Whether or not you think you will vote for Roosevelt, please look over these arguments and tell me which ones you think are good as arguments go.  Choose as many or as few as you want to.  If you don't think any of them are good, please say so....(Franklin D.) Roosevelt will see to it that no matter what happens in this country after the war, there will not be breadlines and everyone will have some kind of security.  Because of Roosevelt's experience, it would be better to have him than (Thomas) Dewey represent this country at the peace table after the war.  Whether we agree with Roosevelt or not, at least we know where he stands on the important problems we have to face both here at home and in international affairs.  Dewey doesn't tell us frankly what he thinks.  He always seems to play safe.  The Republicans failed after the last war to work out a way to maintain a lasting peace.  After this war is over the would probably not make as good peace arrangements as the Democrats.",* Adds to more than 100% due to multiple responses.,,08/31/1944,Office of Public Opinion Research,,Office of Public Opinion Research Roosevelt Survey,08/25/1944,08/30/1944,Y,National Adult,411,,Face-to-face interview,,,False
USROPER.44-043.R2,Roosevelt has done an excellent job and it's very important that he should be President during the next four years,24,With which of these statements do you come closest to agreeing?,,,10/1/1944,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/28/1944,10/9/1944,Y,National adult,5239,,Face-to-face interview,,,False
USROPER.44-043.R2,"While he has made mistakes and he's been in office a long time, it is still better to elect Roosevelt President again for the next four years",27,With which of these statements do you come closest to agreeing?,,,10/1/1944,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/28/1944,10/9/1944,Y,National adult,5239,,Face-to-face interview,,,False
USROPER.44-043.R2,"Although Roosevelt has done some good things, he has been President long enough and the country would be better off to elect Dewey for the next four years",27,With which of these statements do you come closest to agreeing?,,,10/1/1944,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/28/1944,10/9/1944,Y,National adult,5239,,Face-to-face interview,,,False
USROPER.44-043.R2,It would be a very bad thing for this country to reelect Roosevelt for another four years,17,With which of these statements do you come closest to agreeing?,,,10/1/1944,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/28/1944,10/9/1944,Y,National adult,5239,,Face-to-face interview,,,False
USROPER.44-043.R2,Don't know,5,With which of these statements do you come closest to agreeing?,,,10/1/1944,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/28/1944,10/9/1944,Y,National adult,5239,,Face-to-face interview,,,False
