QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,isValid
USGALLUP.52-509.QK18B,Stevenson,42,Did you vote for Adlai Stevenson or Eisenhower (in the presidential election November 1952)?,,Asked of those who voted in the presidential election November 1952 (80%),12/1/1952,Gallup Organization,,Gallup Poll (AIPO),12/11/1952,12/16/1952,Y,National Adult,1424,,Face-to-face interview,Sample size is approximate.,False
USGALLUP.52-509.QK18B,Eisenhower,58,Did you vote for Adlai Stevenson or Eisenhower (in the presidential election November 1952)?,,Asked of those who voted in the presidential election November 1952 (80%),12/1/1952,Gallup Organization,,Gallup Poll (AIPO),12/11/1952,12/16/1952,Y,National Adult,1424,,Face-to-face interview,Sample size is approximate.,False
USORC.56OCT.R52,Eisenhower-Nixon,31,"(Here are some of the issues that are being discussed in the (1956) presidential campaign. I'd like to know which you feel would do the best job--the Republican team of Eisenhower and Nixon, or the Democratic team of Stevenson and Kefauver--on each of these.)... Work for labor laws fair to all groups",,,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R52,Stevenson-Kefauver,42,"(Here are some of the issues that are being discussed in the (1956) presidential campaign. I'd like to know which you feel would do the best job--the Republican team of Eisenhower and Nixon, or the Democratic team of Stevenson and Kefauver--on each of these.)... Work for labor laws fair to all groups",,,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R52,No difference (vol.),16,"(Here are some of the issues that are being discussed in the (1956) presidential campaign. I'd like to know which you feel would do the best job--the Republican team of Eisenhower and Nixon, or the Democratic team of Stevenson and Kefauver--on each of these.)... Work for labor laws fair to all groups",,,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R52,No opinion,11,"(Here are some of the issues that are being discussed in the (1956) presidential campaign. I'd like to know which you feel would do the best job--the Republican team of Eisenhower and Nixon, or the Democratic team of Stevenson and Kefauver--on each of these.)... Work for labor laws fair to all groups",,,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Republican are for the rich,24,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Better qualified,24,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Believe in Democratic party,20,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Dislike Nixon,14,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Time for a change,12,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Ike's health,10,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Eisenhower's leadership is not independent enough,5,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Republicans are a depression party,1,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,Other comments,11,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USORC.56OCT.R39,No opinion,4,Why do you say that (the Democratic team of Stevenson-Kefauver will provide the nation with the best leadership)?,,Asked of those who said Democratic team will provide best leadership (35%) Adds to more than 100% due to multiple responses,10/1/1956,Opinion Research Corporation,,ORC Public Opinion Index,08/29/1956,09/15/1956,Y,National adult,1471,,Face-to-face interview,,False
USGALLUP.55-0550.QK101A,"Yes, voted",70,"In the election in November, 1952--when Eisenhower ran against Stevenson--did things come up which kept you from voting, or did you happen to vote?",* = less than .5 percent,,07/1/1955,Gallup Organization,,Gallup Poll (AIPO),07/14/1955,07/19/1955,Y,National adult,1397,,Face-to-face interview,Sample size is approximate.,False
USGALLUP.55-0550.QK101A,"No, didn't vote",25,"In the election in November, 1952--when Eisenhower ran against Stevenson--did things come up which kept you from voting, or did you happen to vote?",* = less than .5 percent,,07/1/1955,Gallup Organization,,Gallup Poll (AIPO),07/14/1955,07/19/1955,Y,National adult,1397,,Face-to-face interview,Sample size is approximate.,False
USGALLUP.55-0550.QK101A,"No, too young",4,"In the election in November, 1952--when Eisenhower ran against Stevenson--did things come up which kept you from voting, or did you happen to vote?",* = less than .5 percent,,07/1/1955,Gallup Organization,,Gallup Poll (AIPO),07/14/1955,07/19/1955,Y,National adult,1397,,Face-to-face interview,Sample size is approximate.,False
USGALLUP.55-0550.QK101A,Don't remember,*,"In the election in November, 1952--when Eisenhower ran against Stevenson--did things come up which kept you from voting, or did you happen to vote?",* = less than .5 percent,,07/1/1955,Gallup Organization,,Gallup Poll (AIPO),07/14/1955,07/19/1955,Y,National adult,1397,,Face-to-face interview,Sample size is approximate.,False
USGALLUP.54-540.QK21B,Eisenhower,59,Did you vote for Eisenhower or Stevenson (for President) in 1952?,* = less than .5 percent,,12/1/1954,Gallup Organization,,Gallup Poll (AIPO),12/2/1954,12/7/1954,Y,National Adult,1481,,Face-to-face interview,Sample size is approximate.,False
USGALLUP.54-540.QK21B,Stevenson,39,Did you vote for Eisenhower or Stevenson (for President) in 1952?,* = less than .5 percent,,12/1/1954,Gallup Organization,,Gallup Poll (AIPO),12/2/1954,12/7/1954,Y,National Adult,1481,,Face-to-face interview,Sample size is approximate.,False
