QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,isValid
USORC.102272.R13,More likely vote McGovern,16,"Will this (John Connally's speech discussing the policies of President Nixon and Senator McGovern) make you more likely to vote for Richard Nixon, or not make any difference to you when you vote this fall (1972)?",,"Asked of only those interviewed 10/21-22/72 who saw, heard, or read about John Connally's speech",10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.102272.R13,More likely vote Nixon,24,"Will this (John Connally's speech discussing the policies of President Nixon and Senator McGovern) make you more likely to vote for Richard Nixon, or not make any difference to you when you vote this fall (1972)?",,"Asked of only those interviewed 10/21-22/72 who saw, heard, or read about John Connally's speech",10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.102272.R13,Not make any difference,53,"Will this (John Connally's speech discussing the policies of President Nixon and Senator McGovern) make you more likely to vote for Richard Nixon, or not make any difference to you when you vote this fall (1972)?",,"Asked of only those interviewed 10/21-22/72 who saw, heard, or read about John Connally's speech",10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.102272.R13,No opinion,7,"Will this (John Connally's speech discussing the policies of President Nixon and Senator McGovern) make you more likely to vote for Richard Nixon, or not make any difference to you when you vote this fall (1972)?",,"Asked of only those interviewed 10/21-22/72 who saw, heard, or read about John Connally's speech",10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.110172.R16,Political charge by desperate politician,42,Senator McGovern has charged that the Nixon Administration is one of the most corrupt in history. Some people have said that this is simply a political charge by a desperate politician who is far behind. Others agree with him and think President Nixon needs to answer and explain these charges. Which side do you agree with?,,,11/1/1972,Opinion Research Corporation,,Nixon Poll,10/31/1972,11/1/1972,Y,National Adult,1123,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.110172.R16,Most corrupt administration and needs explaining,34,Senator McGovern has charged that the Nixon Administration is one of the most corrupt in history. Some people have said that this is simply a political charge by a desperate politician who is far behind. Others agree with him and think President Nixon needs to answer and explain these charges. Which side do you agree with?,,,11/1/1972,Opinion Research Corporation,,Nixon Poll,10/31/1972,11/1/1972,Y,National Adult,1123,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.110172.R16,Don't know,24,Senator McGovern has charged that the Nixon Administration is one of the most corrupt in history. Some people have said that this is simply a political charge by a desperate politician who is far behind. Others agree with him and think President Nixon needs to answer and explain these charges. Which side do you agree with?,,,11/1/1972,Opinion Research Corporation,,Nixon Poll,10/31/1972,11/1/1972,Y,National Adult,1123,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.102272.R17F,Nixon,44,"If he were President, who do you think would be... better in keeping corruption out of the federal government--Nixon or McGovern?",,,10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.102272.R17F,McGovern,22,"If he were President, who do you think would be... better in keeping corruption out of the federal government--Nixon or McGovern?",,,10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
USORC.102272.R17F,No opinion,34,"If he were President, who do you think would be... better in keeping corruption out of the federal government--Nixon or McGovern?",,,10/22/1972,Opinion Research Corporation,,Nixon Poll,10/20/1972,10/22/1972,Y,National adult,1059,,Telephone Interview,One of a series of surveys conducted for Richard Nixon while he was President.,False
