QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,isValid
USYANK.768540.Q07C2,Improved,27,"How about your impressions of Gerald Ford? Have your impressions of him improved, stayed the same, or gotten worse as the result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07C2,Stayed the same,63,"How about your impressions of Gerald Ford? Have your impressions of him improved, stayed the same, or gotten worse as the result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07C2,Gotten worse,8,"How about your impressions of Gerald Ford? Have your impressions of him improved, stayed the same, or gotten worse as the result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07C2,Not sure,3,"How about your impressions of Gerald Ford? Have your impressions of him improved, stayed the same, or gotten worse as the result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07B,All of it,58,Did you watch all of the (Presidential) debate (between Ford and Carter) or just part of it?,,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07B,Part of it,43,Did you watch all of the (Presidential) debate (between Ford and Carter) or just part of it?,,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USCBSNYT.101476.R38H,Ford,59,"(Now, I would like to read you a list of sentences that people have used about candidates for public office. For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better. If you feel the sentence fits neither person, or fits both people equally, just say so.)...He seems to have a more detailed knowledge about how government works.",,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.101476.R38H,Carter,21,"(Now, I would like to read you a list of sentences that people have used about candidates for public office. For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better. If you feel the sentence fits neither person, or fits both people equally, just say so.)...He seems to have a more detailed knowledge about how government works.",,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.101476.R38H,Don't know,20,"(Now, I would like to read you a list of sentences that people have used about candidates for public office. For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better. If you feel the sentence fits neither person, or fits both people equally, just say so.)...He seems to have a more detailed knowledge about how government works.",,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USYANK.768560.Q5A,Carter,49,"If the (1976 Presidential) election were being held today and you had to choose between the Democratic ticket headed by Carter and the Republican ticket headed by Ford, for whom would you vote?",,,10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,True
