QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,isValid
USYANK.845701.Q13B,For Mondale-Ferraro,46,"When it comes right down to it, are you really FOR the Mondale-Ferraro ticket or are you really AGAINST the Reagan-Bush ticket (in the 1984 Presidential election)?",,Reg. voters/prefer Mondale-Ferraro (30%),10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q13B,Against Reagan-Bush,48,"When it comes right down to it, are you really FOR the Mondale-Ferraro ticket or are you really AGAINST the Reagan-Bush ticket (in the 1984 Presidential election)?",,Reg. voters/prefer Mondale-Ferraro (30%),10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q13B,Not sure (Volunteered),6,"When it comes right down to it, are you really FOR the Mondale-Ferraro ticket or are you really AGAINST the Reagan-Bush ticket (in the 1984 Presidential election)?",,Reg. voters/prefer Mondale-Ferraro (30%),10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q22H,Reagan better,46,"Now I would like you tell me whether you think Reagan or Mondale will do a better job dealing with important issues facing the country. For each of the issues that I'm about to read, please tell me whether you think Reagan or Mondale would do a better job. Reducing the risk of nuclear war?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q22H,Mondale better,38,"Now I would like you tell me whether you think Reagan or Mondale will do a better job dealing with important issues facing the country. For each of the issues that I'm about to read, please tell me whether you think Reagan or Mondale would do a better job. Reducing the risk of nuclear war?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q22H,No difference (Vol.),7,"Now I would like you tell me whether you think Reagan or Mondale will do a better job dealing with important issues facing the country. For each of the issues that I'm about to read, please tell me whether you think Reagan or Mondale would do a better job. Reducing the risk of nuclear war?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q22H,Not sure,10,"Now I would like you tell me whether you think Reagan or Mondale will do a better job dealing with important issues facing the country. For each of the issues that I'm about to read, please tell me whether you think Reagan or Mondale would do a better job. Reducing the risk of nuclear war?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q23N,Reagan better,30,"Now please compare Reagan and Mondale on some personal characteristics. As I read each one, please tell me who you think better demonstrates each characteristic. Is young and healthy enough to handle the job?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q23N,Mondale better,48,"Now please compare Reagan and Mondale on some personal characteristics. As I read each one, please tell me who you think better demonstrates each characteristic. Is young and healthy enough to handle the job?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
USYANK.845701.Q23N,Both same (Vol.),18,"Now please compare Reagan and Mondale on some personal characteristics. As I read each one, please tell me who you think better demonstrates each characteristic. Is young and healthy enough to handle the job?",,,10/25/1984,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/23/1984,10/25/1984,Y,Registered voters,1014,,Telephone Interview,,False
