QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USKRC.110788.R03,Favorable,45,How would you rate your opinion of Michael Dukakis?,,,11/7/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/5/1988,11/7/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110788.R03,Unfavorable,44,How would you rate your opinion of Michael Dukakis?,,,11/7/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/5/1988,11/7/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110788.R03,Other (vol.)/Don't know,11,How would you rate your opinion of Michael Dukakis?,,,11/7/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/5/1988,11/7/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110188.R03,Favorable,42,How would you rate your opinion of Michael Dukakis?,,,11/1/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/30/1988,11/1/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110188.R03,Unfavorable,44,How would you rate your opinion of Michael Dukakis?,,,11/1/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/30/1988,11/1/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110188.R03,Other (vol.)/Don't know,14,How would you rate your opinion of Michael Dukakis?,,,11/1/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/30/1988,11/1/1988,Y,National--Registered voters,1002,,Telephone Interview,
USCBSNYT.8810F.Q103,Favorable,30,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version I registered voters (75% of Version I),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USCBSNYT.8810F.Q103,Not favorable,43,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version I registered voters (75% of Version I),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USCBSNYT.8810F.Q103,Undecided,22,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version I registered voters (75% of Version I),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USCBSNYT.8810F.Q103,Not heard enough,3,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version I registered voters (75% of Version I),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USCBSNYT.8810F.Q103,Refused,2,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version I registered voters (75% of Version I),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USKRC.110688.R03,Favorable,45,How would you rate your opinion of Michael Dukakis?,,,11/6/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/4/1988,11/6/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110688.R03,Unfavorable,45,How would you rate your opinion of Michael Dukakis?,,,11/6/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/4/1988,11/6/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110688.R03,Other (vol.)/Don't know,10,How would you rate your opinion of Michael Dukakis?,,,11/6/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/4/1988,11/6/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110388.R03,Favorable,42,How would you rate your opinion of Michael Dukakis?,,,11/3/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/1/1988,11/3/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110388.R03,Unfavorable,43,How would you rate your opinion of Michael Dukakis?,,,11/3/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/1/1988,11/3/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110388.R03,Other (vol.)/Don't know,15,How would you rate your opinion of Michael Dukakis?,,,11/3/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/1/1988,11/3/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110288.R03,Favorable,41,How would you rate your opinion of Michael Dukakis?,,,11/2/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/31/1988,11/2/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110288.R03,Unfavorable,43,How would you rate your opinion of Michael Dukakis?,,,11/2/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/31/1988,11/2/1988,Y,National--Registered voters,1002,,Telephone Interview,
USKRC.110288.R03,Other (vol.)/Don't know,16,How would you rate your opinion of Michael Dukakis?,,,11/2/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/31/1988,11/2/1988,Y,National--Registered voters,1002,,Telephone Interview,
USLAT.88EXIT.RAM,Favorable,46,"(Mark an 'X' to show your general attitude toward each of the following.) As of today, what is your impression of... Michael Dukakis.",,,11/8/1988,Los Angeles Times,Los Angeles Times; Cable News Network (CNN),Los Angeles Times/Cable News Network Exit Poll 1988,11/8/1988,11/8/1988,Y,Exiting Voters,6043,,Mail Questionnaire/Self-enumerated questionnaire,
USLAT.88EXIT.RAM,Unfavorable,46,"(Mark an 'X' to show your general attitude toward each of the following.) As of today, what is your impression of... Michael Dukakis.",,,11/8/1988,Los Angeles Times,Los Angeles Times; Cable News Network (CNN),Los Angeles Times/Cable News Network Exit Poll 1988,11/8/1988,11/8/1988,Y,Exiting Voters,6043,,Mail Questionnaire/Self-enumerated questionnaire,
USLAT.88EXIT.RAM,No opinion,8,"(Mark an 'X' to show your general attitude toward each of the following.) As of today, what is your impression of... Michael Dukakis.",,,11/8/1988,Los Angeles Times,Los Angeles Times; Cable News Network (CNN),Los Angeles Times/Cable News Network Exit Poll 1988,11/8/1988,11/8/1988,Y,Exiting Voters,6043,,Mail Questionnaire/Self-enumerated questionnaire,
USCBSNYT.8810F.Q203,Favorable,30,"(Asked of Version II registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version II registered voters (79% of Version II),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USCBSNYT.8810F.Q203,Not favorable,42,"(Asked of Version II registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version II registered voters (79% of Version II),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
USCBSNYT.8810F.Q203,Undecided,26,"(Asked of Version II registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",,Version II registered voters (79% of Version II),11/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.
