QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USGREEN.04DCOC26.R037,Much more favorable,16,"Has what you have heard about John Kerry in the past couple of days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much or somewhat more/less favorable?)",,Asked of Form A half sample,10/26/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/24/2004,10/25/2004,Y,National registered likely voters,1306,,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably or are almost certain to vote in the 2004 presidential election."
USGREEN.04DCOC26.R037,Somewhat more favorable,15,"Has what you have heard about John Kerry in the past couple of days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much or somewhat more/less favorable?)",,Asked of Form A half sample,10/26/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/24/2004,10/25/2004,Y,National registered likely voters,1306,,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably or are almost certain to vote in the 2004 presidential election."
USGREEN.04DCOC26.R037,Somewhat less favorable,13,"Has what you have heard about John Kerry in the past couple of days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much or somewhat more/less favorable?)",,Asked of Form A half sample,10/26/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/24/2004,10/25/2004,Y,National registered likely voters,1306,,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably or are almost certain to vote in the 2004 presidential election."
USGREEN.04DCOC26.R037,Much less favorable,21,"Has what you have heard about John Kerry in the past couple of days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much or somewhat more/less favorable?)",,Asked of Form A half sample,10/26/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/24/2004,10/25/2004,Y,National registered likely voters,1306,,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably or are almost certain to vote in the 2004 presidential election."
USGREEN.04DCOC26.R037,No difference (Vol.),32,"Has what you have heard about John Kerry in the past couple of days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much or somewhat more/less favorable?)",,Asked of Form A half sample,10/26/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/24/2004,10/25/2004,Y,National registered likely voters,1306,,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably or are almost certain to vote in the 2004 presidential election."
USGREEN.04DCOC26.R037,Don't know/Refused,3,"Has what you have heard about John Kerry in the past couple of days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much or somewhat more/less favorable?)",,Asked of Form A half sample,10/26/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/24/2004,10/25/2004,Y,National registered likely voters,1306,,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably or are almost certain to vote in the 2004 presidential election."
USPSRNEW.101604.R06B,Favorable,51,"(Next, please tell me if you have a favorable or unfavorable opinion of the following people in politics.  If I mention someone you had never heard of before this interview, just tell me.) What about...John Kerry?  Do you have a favorable or unfavorable opinion of him?",* = less than .5%.,Registered voters,10/16/2004,Princeton Survey Research Associates International,Newsweek,Princeton Survey Research Associates International/Newsweek Poll,10/14/2004,10/15/2004,Y,National adult,1123,Q6B,Telephone Interview,
USPSRNEW.101604.R06B,Unfavorable,44,"(Next, please tell me if you have a favorable or unfavorable opinion of the following people in politics.  If I mention someone you had never heard of before this interview, just tell me.) What about...John Kerry?  Do you have a favorable or unfavorable opinion of him?",* = less than .5%.,Registered voters,10/16/2004,Princeton Survey Research Associates International,Newsweek,Princeton Survey Research Associates International/Newsweek Poll,10/14/2004,10/15/2004,Y,National adult,1123,Q6B,Telephone Interview,
USPSRNEW.101604.R06B,Never heard of,*,"(Next, please tell me if you have a favorable or unfavorable opinion of the following people in politics.  If I mention someone you had never heard of before this interview, just tell me.) What about...John Kerry?  Do you have a favorable or unfavorable opinion of him?",* = less than .5%.,Registered voters,10/16/2004,Princeton Survey Research Associates International,Newsweek,Princeton Survey Research Associates International/Newsweek Poll,10/14/2004,10/15/2004,Y,National adult,1123,Q6B,Telephone Interview,
USPSRNEW.101604.R06B,Don't know,5,"(Next, please tell me if you have a favorable or unfavorable opinion of the following people in politics.  If I mention someone you had never heard of before this interview, just tell me.) What about...John Kerry?  Do you have a favorable or unfavorable opinion of him?",* = less than .5%.,Registered voters,10/16/2004,Princeton Survey Research Associates International,Newsweek,Princeton Survey Research Associates International/Newsweek Poll,10/14/2004,10/15/2004,Y,National adult,1123,Q6B,Telephone Interview,
USSRBI.101604.R07A,Favorable,48,"Please tell me if you have a favorable opinion of...John Kerry.  If you don't have an opinion of this candidate, just let me know.",,Registered voters,10/16/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/14/2004,10/15/2004,Y,National adult,1131,Q7_1,Telephone Interview,
USSRBI.101604.R07A,Unfavorable,37,"Please tell me if you have a favorable opinion of...John Kerry.  If you don't have an opinion of this candidate, just let me know.",,Registered voters,10/16/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/14/2004,10/15/2004,Y,National adult,1131,Q7_1,Telephone Interview,
USSRBI.101604.R07A,Don't know,13,"Please tell me if you have a favorable opinion of...John Kerry.  If you don't have an opinion of this candidate, just let me know.",,Registered voters,10/16/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/14/2004,10/15/2004,Y,National adult,1131,Q7_1,Telephone Interview,
USSRBI.101604.R07A,Refused,1,"Please tell me if you have a favorable opinion of...John Kerry.  If you don't have an opinion of this candidate, just let me know.",,Registered voters,10/16/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/14/2004,10/15/2004,Y,National adult,1131,Q7_1,Telephone Interview,
USSRBI.102204.R07A,Favorable,45,Please tell me if you have a favorable or unfavorable opinion of...John Kerry.,,Registered voters,10/22/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/19/2004,10/21/2004,Y,National adult,1200,Q7_1,Telephone Interview,
USSRBI.102204.R07A,Unfavorable,42,Please tell me if you have a favorable or unfavorable opinion of...John Kerry.,,Registered voters,10/22/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/19/2004,10/21/2004,Y,National adult,1200,Q7_1,Telephone Interview,
USSRBI.102204.R07A,Don't know,12,Please tell me if you have a favorable or unfavorable opinion of...John Kerry.,,Registered voters,10/22/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/19/2004,10/21/2004,Y,National adult,1200,Q7_1,Telephone Interview,
USSRBI.102204.R07A,Refused,1,Please tell me if you have a favorable or unfavorable opinion of...John Kerry.,,Registered voters,10/22/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/19/2004,10/21/2004,Y,National adult,1200,Q7_1,Telephone Interview,
USLAT.04SEPT30.R12P,Haven't heard enough,2,"What is your impression of John Kerry?  As of today , is it very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, or haven't you heard enough about him to say?",* = less than .5%.,,10/31/2004,Los Angeles Times,,Los Angeles Times Poll,09/30/2004,10/1/2004,Y,National registered voters who watched the first presidential debate,725,PRES2,Telephone Interview,"Respondents were originally interviewed September 25-28, 2004 and agreed to be reinterviewed."
USLAT.04SEPT30.R12P,Very favorable,32,"What is your impression of John Kerry?  As of today , is it very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, or haven't you heard enough about him to say?",* = less than .5%.,,10/31/2004,Los Angeles Times,,Los Angeles Times Poll,09/30/2004,10/1/2004,Y,National registered voters who watched the first presidential debate,725,PRES2,Telephone Interview,"Respondents were originally interviewed September 25-28, 2004 and agreed to be reinterviewed."
