QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
31120655.00016,Very favorable,40,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120655.00016,Somewhat favorable,22,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120655.00016,Somewhat unfavorable,9,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120655.00016,Very unfavorable,23,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120655.00016,"Heard of, no opinion",3,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120655.00016,Never heard of,*,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120655.00016,"Skipped ",2,"After the primary debate Wednesday, how favorable or unfavorable is your opinion of each of the following presidential candidates?...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, heard of, no opinion, never heard of...Donald Trump",* = Less than .5 percent.,,11/9/2023,Ipsos,FiveThirtyEight; Washington Post,"Republican debate watchers see Haley as the best performer, Ramaswamy as the worst",11/8/2023,11/9/2023,Y,National likely Republican primary voters and debate watchers,2682,,Web-based survey,
31120711.00025,Strongly favorable,15,"Overall do you have a favorable or unfavorable impression of (Donald) Trump?...Strongly favorable, somewhat favorable, somewhat unfavorable, strongly unfavorable",,,01/14/2024,Ipsos,ABC News,Trump tops his opponents while Biden hits a new low in approval ahead of Iowa caucus,01/4/2024,01/8/2024,Y,National adult,2228,,Web-based survey,
31120711.00025,Somewhat favorable,21,"Overall do you have a favorable or unfavorable impression of (Donald) Trump?...Strongly favorable, somewhat favorable, somewhat unfavorable, strongly unfavorable",,,01/14/2024,Ipsos,ABC News,Trump tops his opponents while Biden hits a new low in approval ahead of Iowa caucus,01/4/2024,01/8/2024,Y,National adult,2228,,Web-based survey,
31120711.00025,Somewhat unfavorable,13,"Overall do you have a favorable or unfavorable impression of (Donald) Trump?...Strongly favorable, somewhat favorable, somewhat unfavorable, strongly unfavorable",,,01/14/2024,Ipsos,ABC News,Trump tops his opponents while Biden hits a new low in approval ahead of Iowa caucus,01/4/2024,01/8/2024,Y,National adult,2228,,Web-based survey,
31120711.00025,Strongly unfavorable,43,"Overall do you have a favorable or unfavorable impression of (Donald) Trump?...Strongly favorable, somewhat favorable, somewhat unfavorable, strongly unfavorable",,,01/14/2024,Ipsos,ABC News,Trump tops his opponents while Biden hits a new low in approval ahead of Iowa caucus,01/4/2024,01/8/2024,Y,National adult,2228,,Web-based survey,
