QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USROPER.40-021.R15BC,Roosevelt,47,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the foreign policy we should pursue,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (28%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,
USROPER.40-021.R15BC,Willkie,42,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the foreign policy we should pursue,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (28%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,
USROPER.40-021.R15BC,Don't know,11,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the foreign policy we should pursue,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (28%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,
USGALLUP.40-206.Q5A,ROOSEVELT,41,"AS IT LOOKS NOW, DO YOU INTEND TO VOTE FOR ROOSEVELT OR FOR WILLKIE (FOR PRESIDENT 1940) THIS FALL?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.
USGALLUP.40-206.Q5A,WILLKIE,44,"AS IT LOOKS NOW, DO YOU INTEND TO VOTE FOR ROOSEVELT OR FOR WILLKIE (FOR PRESIDENT 1940) THIS FALL?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.
USGALLUP.40-206.Q5A,OTHER,1,"AS IT LOOKS NOW, DO YOU INTEND TO VOTE FOR ROOSEVELT OR FOR WILLKIE (FOR PRESIDENT 1940) THIS FALL?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.
USGALLUP.40-206.Q5A,Undecided,14,"AS IT LOOKS NOW, DO YOU INTEND TO VOTE FOR ROOSEVELT OR FOR WILLKIE (FOR PRESIDENT 1940) THIS FALL?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.
USGALLUP.40-219.QT02B,Just the man the country needs,17,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",,Asked of Form T half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote."
USGALLUP.40-219.QT02B,Would make a better President than Roosevelt,29,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",,Asked of Form T half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote."
USGALLUP.40-219.QT02B,Hasn't had the right experience to be President,31,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",,Asked of Form T half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote."
