QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USCBS.8810K.Q07C,Strongly favor,43,"Would you describe your support for George Bush & Dan Quayle/Michael Dukakis & Lloyd Bentsen as strongly favoring them, or do you like them with reservations, or do you support them because you dislike the other candidates (for president in 1988)?",,Asked of registered voters who said they will vote for George Bush/Dan Quayle including leaners (94% of registered voters),11/1/1988,CBS News; The George Fine Research Firm,CBS News,CBS News Poll,11/6/1988,11/7/1988,Y,National adult,2227,,"Telephone Interview, Landline",Interviews were conducted by George Fine Research
USCBS.8810K.Q07C,Like with reservations,34,"Would you describe your support for George Bush & Dan Quayle/Michael Dukakis & Lloyd Bentsen as strongly favoring them, or do you like them with reservations, or do you support them because you dislike the other candidates (for president in 1988)?",,Asked of registered voters who said they will vote for George Bush/Dan Quayle including leaners (94% of registered voters),11/1/1988,CBS News; The George Fine Research Firm,CBS News,CBS News Poll,11/6/1988,11/7/1988,Y,National adult,2227,,"Telephone Interview, Landline",Interviews were conducted by George Fine Research
USCBS.8810K.Q07C,Dislike other,18,"Would you describe your support for George Bush & Dan Quayle/Michael Dukakis & Lloyd Bentsen as strongly favoring them, or do you like them with reservations, or do you support them because you dislike the other candidates (for president in 1988)?",,Asked of registered voters who said they will vote for George Bush/Dan Quayle including leaners (94% of registered voters),11/1/1988,CBS News; The George Fine Research Firm,CBS News,CBS News Poll,11/6/1988,11/7/1988,Y,National adult,2227,,"Telephone Interview, Landline",Interviews were conducted by George Fine Research
USCBS.8810K.Q07C,Don't know/No answer,5,"Would you describe your support for George Bush & Dan Quayle/Michael Dukakis & Lloyd Bentsen as strongly favoring them, or do you like them with reservations, or do you support them because you dislike the other candidates (for president in 1988)?",,Asked of registered voters who said they will vote for George Bush/Dan Quayle including leaners (94% of registered voters),11/1/1988,CBS News; The George Fine Research Firm,CBS News,CBS News Poll,11/6/1988,11/7/1988,Y,National adult,2227,,"Telephone Interview, Landline",Interviews were conducted by George Fine Research
USDYG.ATS11.R09CP,Bush,62,"(Thinking about the same list of issues, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.)...guarding against Soviet aggression.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,,Telephone Interview,
USDYG.ATS11.R09CP,Dukakis,24,"(Thinking about the same list of issues, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.)...guarding against Soviet aggression.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,,Telephone Interview,
USDYG.ATS11.R09CP,Both (Vol.),5,"(Thinking about the same list of issues, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.)...guarding against Soviet aggression.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,,Telephone Interview,
USDYG.ATS11.R09CP,Neither (Vol.),2,"(Thinking about the same list of issues, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.)...guarding against Soviet aggression.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,,Telephone Interview,
USDYG.ATS11.R09CP,Not sure,7,"(Thinking about the same list of issues, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.)...guarding against Soviet aggression.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,,Telephone Interview,
USDYG.ATS11.R10BT,Bush,56,"(I'd like to read through those positions again. This time, from what you have heard or read, please tell me which candidate in the current (1988) presidential race holds each position now --George Bush or Michael Dukakis.)...spend more on military operational readiness for things like fuel and ammunition needed to fight a war.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,,Telephone Interview,
