QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USNBCWSJ.103092.R04,Bill Clinton will do too much,34,"Which do you think is the greater risk--that Bill Clinton, if elected president, will do too much and end up hurting the country, or that George Bush, if reelected, will do too little and end up hurting the country?",,,10/30/1992,Hart-Breglio Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,10/27/1992,10/28/1992,Y,National Sample of Registered Voters,1507,,Telephone Interview,
USNBCWSJ.103092.R04,George Bush will do too little,50,"Which do you think is the greater risk--that Bill Clinton, if elected president, will do too much and end up hurting the country, or that George Bush, if reelected, will do too little and end up hurting the country?",,,10/30/1992,Hart-Breglio Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,10/27/1992,10/28/1992,Y,National Sample of Registered Voters,1507,,Telephone Interview,
USNBCWSJ.103092.R04,Neither/both equally (Vol.),6,"Which do you think is the greater risk--that Bill Clinton, if elected president, will do too much and end up hurting the country, or that George Bush, if reelected, will do too little and end up hurting the country?",,,10/30/1992,Hart-Breglio Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,10/27/1992,10/28/1992,Y,National Sample of Registered Voters,1507,,Telephone Interview,
USNBCWSJ.103092.R04,Not sure,10,"Which do you think is the greater risk--that Bill Clinton, if elected president, will do too much and end up hurting the country, or that George Bush, if reelected, will do too little and end up hurting the country?",,,10/30/1992,Hart-Breglio Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,10/27/1992,10/28/1992,Y,National Sample of Registered Voters,1507,,Telephone Interview,
USABCWP.92844H.Q14,(George) Bush,17,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
USABCWP.92844H.Q14,(Bill) Clinton,73,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
USABCWP.92844H.Q14,(Ross) Perot,3,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
USABCWP.92844H.Q14,Bush and Clinton,2,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
USABCWP.92844H.Q14,Bush and Perot,1,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
USABCWP.92844H.Q14,Clinton and Perot,1,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
USABCWP.92844H.Q14,Other,1,Who do you think the news media has favored (in its coverage of the 1992 presidential election campaign)?,,Asked of those who said the media has favored a candidate (34%),11/1/1992,ICR Survey Research Group,ABC News; Washington Post,ABC News/Washington Post Poll,10/28/1992,11/1/1992,Y,National Adult,1003,,Telephone Interview,
