QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
31118053.00001,Democrats Joe Biden and Kamala Harris including leaners,51,"If the (2020) presidential election were today, how would you vote if the candidates were Democrats Joe Biden and Kamala Harris or Republicans Donald Trump and Mike Pence? (If Don't know, ask:) Well, which way do you lean? (If Already voted, ask:) When you cast your early ballot, who did you vote for in the election for president?",,,10/30/2020,Beacon Research; Shaw & Co. Research,Fox News,Biden's lead over Trump narrows slightly to 8 points,10/27/2020,10/29/2020,Y,National registered voters,1318,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118053.00001,Republicans Donald Trump and Mike Pence including leaners,44,"If the (2020) presidential election were today, how would you vote if the candidates were Democrats Joe Biden and Kamala Harris or Republicans Donald Trump and Mike Pence? (If Don't know, ask:) Well, which way do you lean? (If Already voted, ask:) When you cast your early ballot, who did you vote for in the election for president?",,,10/30/2020,Beacon Research; Shaw & Co. Research,Fox News,Biden's lead over Trump narrows slightly to 8 points,10/27/2020,10/29/2020,Y,National registered voters,1318,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118053.00001,Other (Vol.),2,"If the (2020) presidential election were today, how would you vote if the candidates were Democrats Joe Biden and Kamala Harris or Republicans Donald Trump and Mike Pence? (If Don't know, ask:) Well, which way do you lean? (If Already voted, ask:) When you cast your early ballot, who did you vote for in the election for president?",,,10/30/2020,Beacon Research; Shaw & Co. Research,Fox News,Biden's lead over Trump narrows slightly to 8 points,10/27/2020,10/29/2020,Y,National registered voters,1318,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118053.00001,Wouldn't vote (Vol.),1,"If the (2020) presidential election were today, how would you vote if the candidates were Democrats Joe Biden and Kamala Harris or Republicans Donald Trump and Mike Pence? (If Don't know, ask:) Well, which way do you lean? (If Already voted, ask:) When you cast your early ballot, who did you vote for in the election for president?",,,10/30/2020,Beacon Research; Shaw & Co. Research,Fox News,Biden's lead over Trump narrows slightly to 8 points,10/27/2020,10/29/2020,Y,National registered voters,1318,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118053.00001,Don't know,3,"If the (2020) presidential election were today, how would you vote if the candidates were Democrats Joe Biden and Kamala Harris or Republicans Donald Trump and Mike Pence? (If Don't know, ask:) Well, which way do you lean? (If Already voted, ask:) When you cast your early ballot, who did you vote for in the election for president?",,,10/30/2020,Beacon Research; Shaw & Co. Research,Fox News,Biden's lead over Trump narrows slightly to 8 points,10/27/2020,10/29/2020,Y,National registered voters,1318,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118108.00004,Strongly support,75,"Would you say that you strongly support Joe Biden/Donald Trump (for president in 2020), somewhat support them, or do you think that you might vote differently on Election Day?",,Registered voters who chose a candidate (99% of Registered voters),10/30/2020,Marist College Institute for Public Opinion,NBC News,Biden Up by 6 Points in North Carolina,10/25/2020,10/28/2020,Y,North Carolina adults,1135,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118108.00004,Somewhat support,22,"Would you say that you strongly support Joe Biden/Donald Trump (for president in 2020), somewhat support them, or do you think that you might vote differently on Election Day?",,Registered voters who chose a candidate (99% of Registered voters),10/30/2020,Marist College Institute for Public Opinion,NBC News,Biden Up by 6 Points in North Carolina,10/25/2020,10/28/2020,Y,North Carolina adults,1135,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118108.00004,Might vote differently,2,"Would you say that you strongly support Joe Biden/Donald Trump (for president in 2020), somewhat support them, or do you think that you might vote differently on Election Day?",,Registered voters who chose a candidate (99% of Registered voters),10/30/2020,Marist College Institute for Public Opinion,NBC News,Biden Up by 6 Points in North Carolina,10/25/2020,10/28/2020,Y,North Carolina adults,1135,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118108.00004,Unsure,1,"Would you say that you strongly support Joe Biden/Donald Trump (for president in 2020), somewhat support them, or do you think that you might vote differently on Election Day?",,Registered voters who chose a candidate (99% of Registered voters),10/30/2020,Marist College Institute for Public Opinion,NBC News,Biden Up by 6 Points in North Carolina,10/25/2020,10/28/2020,Y,North Carolina adults,1135,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31118061.00000,Biden including leaners,47,"If the (2020) election for president were being held today, and the candidates were Joe Biden, the Democrat, and Donald Trump, the Republican, for whom would you vote? (If Undecided, ask:) As of today, do you lean more toward Joe Biden, the Democrat, or Donald Trump, the Republican?",,,11/2/2020,Quinnipiac University Polling Institute,,"Florida And Ohio: Biden Has The Edge Over Trump, Quinnipiac University Poll Finds; Nationally, Biden Maintains A Strong Lead",10/28/2020,11/1/2020,Y,Ohio likely voters,1440,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
