QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USTARR.103196.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,11/1/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/28/1996,10/31/1996,Y,National likely voters,1000,nan,Telephone Interview,nan,46.0,44.0,10.0
USTARR.102896.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,10/29/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/23/1996,10/28/1996,Y,National likely voters,1000,nan,Telephone Interview,"Interviews conducted Oct. 23-24, 27-28",47.0,44.0,9.0
USGALLUP.97DC18.R07D,"(I'd like your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of this person--or if you have never heard of him or her.) What is your overall opinion of...Bob Dole?",nan,nan,12/1/1997,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,12/18/1997,12/21/1997,Y,National adult,1005,nan,Telephone Interview,nan,57.0,33.0,11.0
USCBSNYT.110396.R03,"Is your opinion of Bob Dole favorable, not favorable, undecided, or haven't you heard enough about Bob Dole yet to have an opinion?",nan,Registered voters,11/3/1996,CBS News; New York Times,nan,CBS News/New York Times Poll,10/30/1996,11/2/1996,Y,National adult,1919,nan,Telephone Interview,nan,30.0,43.0,27.0
USYANKP.121396.R03E,"(I'm going to read you the names of some political organizations and leaders in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of that person or organization, or whether you are not familiar enough with that person or organization to say one way or the other.)... Bob Dole",nan,nan,12/13/1996,Yankelovich Partners,Time; Cable News Network (CNN),Time/CNN/Yankelovich Partners Poll,12/11/1996,12/12/1996,Y,National adult,818,nan,Telephone Interview,nan,46.0,42.0,12.0
USYANKP.072800.R13G,"(I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another.)... Bob Dole",nan,nan,07/28/2000,"Yankelovich Partners, Inc.",Time Magazine; Cable News Network (CNN),Time/CNN/Yankelovich Partners Poll,07/26/2000,07/27/2000,Y,National adult,1255,Q13G,Telephone Interview,nan,51.0,32.0,17.0
USPENN.96ELEC.R033,"In general, do you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable view of Bob Dole?",nan,nan,11/1/1996,Penn & Schoen Associates,Democratic Leadership Council,Post Election Poll,11/9/1996,11/11/1996,Y,National registered voters,1200,nan,Telephone Interview,nan,48.0,39.0,3.0
USGALLUP.97AP11.R03C,"(We'd like your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of this person--or if you have never heard of him or her.)... Bob Dole",* = less than .5 percent,nan,04/1/1997,Gallup Organization,nan,Gallup/CNN/USA Today Poll,04/11/1997,04/13/1997,Y,National adult,1003,nan,Telephone Interview,nan,53.0,39.0,8.0
USGALLUP.96OC31.R09B,"(I will read off the names of some people in the news. As I read each name, please say whether you have a favorable or unfavorable opinion of this person--or if you have never heard of him.)... Bob Dole",* = less than .5 percent,Registered likely voters,10/31/1996,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,10/26/1996,10/29/1996,Y,National adult,1229,nan,Telephone Interview,nan,49.0,46.0,5.0
USLAT.102996.R29B,"(I'm going to read you the names of some people who are in the news. As I read each one, please tell me whether or not you have heard enough about that person to form an opinion and if you have, then I want just your general impression.) What is your impression of... Bob Dole? As of today, is it very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, or haven't you heard enough about him to say?",nan,Asked of registered voters,10/29/1996,Los Angeles Times,nan,Los Angeles Times Poll,10/24/1996,10/27/1996,Y,National adult,1626,nan,Telephone Interview,nan,53.0,40.0,7.0
USCBS.103096.R04,"Is your opinion of Bob Dole favorable, not favorable, undecided, or haven't you heard enough about Bob Dole yet to have an opinion?",nan,Registered voters,10/30/1996,CBS News,nan,CBS News Poll,10/27/1996,10/29/1996,Y,National Adult,1077,nan,Telephone Interview,nan,29.0,43.0,28.0
USODFOX.031303.R06,"(I'm going to read the names of some people. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one, please just say so.)...Bob Dole",nan,nan,03/13/2003,Opinion Dynamics,Fox News,Fox News/Opinion Dynamics Poll,03/11/2003,03/12/2003,Y,National registered voters,900,nan,Telephone Interview,nan,62.0,22.0,16.0
USTARR.102996.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,10/30/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/24/1996,10/29/1996,Y,National likely voters,1000,nan,Telephone Interview,"Interviews conducted Oct.24, 27-29",46.0,45.0,9.0
USGALLUP.19979701004.Q04C,"(Next, I'd like your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of this person--or if you have never heard of him or her.)...Bob Dole",* = less than .5%.,nan,02/28/1997,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,01/31/1997,02/2/1997,Y,National adult,1056,Q4C,Telephone Interview,nan,57.0,35.0,8.0
USGALLUP.03MR014.R04C,"(Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...Bob Dole?",nan,nan,03/17/2003,Gallup Organization,Cable News Network (CNN); USA Today,Gallup/CNN/USA Today Poll,03/14/2003,03/15/2003,Y,National adult,1007,Q4C,Telephone Interview,nan,58.0,28.0,14.0
USTARR.103096.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,10/31/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/27/1996,10/30/1996,Y,National likely voters,1000,nan,Telephone Interview,nan,45.0,45.0,10.0
USCBSNYT.012296.R19,"I'm going to name some possible presidential candidates and ask you what you think of them....Is your opinion of Bob Dole favorable, not favorable, undecided, or haven't you heard enough about Bob Dole yet to have an opinion?",nan,Registered voters,01/22/1996,CBS News; New York Times,nan,CBS News/New York Times Poll,01/18/1996,01/20/1996,Y,National adult,1076,nan,Telephone Interview,nan,24.0,35.0,41.0
USTARR.101496.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,10/15/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/9/1996,10/14/1996,Y,National likely voters,1000,nan,Telephone Interview,"Interviews conducted Oct. 9-10, 13-14",46.0,46.0,7.0
USGALLUP.96E0928T.Q04B,"(I will read off the names of some people in the news. As I read each name, please say whether you have a favorable or unfavorable opinion of this person--or if you have never heard of him.)... Bob Dole",nan,Asked of registered voters/don't need to register interviewed on September 27 only (79% of those interviewed on September 27 only). * = less than .5 percent,09/28/1996,Gallup Organization,CNN; USA Today,Gallup/CNN/USA Today Poll,09/2/1996,11/4/1996,Y,National adult,1200,nan,Telephone Interview,Data is from the 1996 General Election Tracking Survey of independent three day (September) or two day (October-November) tracking results.,55.0,38.0,8.0
USCBS.081596.R03,"Is your opinion of Bob Dole favorable, not favorable, undecided, or haven't you heard enough about Bob Dole yet to have an opinion?",nan,Registered voters.,08/15/1996,CBS News; New York Times,nan,CBS News Poll,08/12/1996,08/14/1996,Y,National adult,1789,nan,Telephone Interview,nan,26.0,36.0,38.0
USGALLUP.96E1104T.Q04B,"(I will read off the names of some people in the news. As I read each name, please say whether you have a favorable or unfavorable opinion of this person--or if you have never heard of him.)... Bob Dole",nan,Asked of registered voters/don't need to register (80%),09/28/1996,Gallup Organization,CNN; USA Today,Gallup/CNN/USA Today Poll,09/2/1996,11/4/1996,Y,National adult,1200,nan,Telephone Interview,Data is from the 1996 General Election Tracking Survey of independent three day (September) or two day (October-November) tracking results.,49.0,43.0,8.0
USTARR.102296.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,10/23/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/17/1996,10/22/1996,Y,National likely voters,1000,nan,Telephone Interview,"Interviews conducted Oct 17, 20-22",48.0,43.0,8.0
USGALLUP.96E1005T.Q04B,"(I will read off the names of some people in the news. As I read each name, please say whether you have a favorable or unfavorable opinion of this person--or if you have never heard of him.)... Bob Dole",nan,Asked of registered voters/don't need to register (84%),09/28/1996,Gallup Organization,CNN; USA Today,Gallup/CNN/USA Today Poll,09/2/1996,11/4/1996,Y,National adult,1200,nan,Telephone Interview,Data is from the 1996 General Election Tracking Survey of independent three day (September) or two day (October-November) tracking results.,53.0,37.0,11.0
USGALLUP.96E0905T.Q04B,"(I will read off the names of some people in the news. As I read each name, please say whether you have a favorable or unfavorable opinion of this person--or if you have never heard of him.)... Bob Dole",nan,Asked of registered voters/don't need to register (82%). * = less than .5 percent,09/28/1996,Gallup Organization,CNN; USA Today,Gallup/CNN/USA Today Poll,09/2/1996,11/4/1996,Y,National adult,1200,nan,Telephone Interview,Data is from the 1996 General Election Tracking Survey of independent three day (September) or two day (October-November) tracking results.,53.0,38.0,8.0
USTARR.091096.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,09/11/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,09/5/1996,09/10/1996,Y,National likely voters,1000,nan,Telephone Interview,"Interviews conducted Sept. 5, 8-10.",46.0,43.0,10.0
USTARR.101596.R2,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",nan,nan,10/16/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/10/1996,10/15/1996,Y,National likely voters,1000,nan,Telephone Interview,"Interviews conducted Oct. 10, 13-15",46.0,46.0,8.0
USCBSNYT.060496.R19,"Is your opinion of Bob Dole favorable, not favorable, undecided, or haven't you heard enough about Bob Dole yet to have an opinion?",nan,Registered voters,06/4/1996,CBS News; New York Times,nan,CBS News/New York Times Poll,05/31/1996,06/3/1996,Y,National adult,1200,nan,Telephone Interview,nan,29.0,35.0,36.0
USCBSNYT.102196.R07,"Is your opinion of Bob Dole favorable, not favorable, undecided, or haven't you heard enough about Bob Dole yet to have an opinion?",nan,Registered voters,10/21/1996,CBS News; New York Times,nan,CBS News/New York Times Poll,10/17/1996,10/20/1996,Y,National adult,1479,nan,Telephone Interview,nan,27.0,43.0,30.0
USPSRA.022996.R09B,"(I'd like your views on some people and things in the news. As I read from a list, please tell me which category best describes your overall opinion of who or what I name.) Would you say your overall opinion of...Bob Dole... is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",nan,Asked of Form A half sample.,02/29/1996,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,02/22/1996,02/25/1996,Y,National adult,1500,nan,Telephone Interview,nan,55.0,39.0,6.0
USGALLUP.96E1015T.Q04B,"(I will read off the names of some people in the news. As I read each name, please say whether you have a favorable or unfavorable opinion of this person--or if you have never heard of him.)... Bob Dole",nan,Asked of registered voters/don't need to register (81%),09/28/1996,Gallup Organization,CNN; USA Today,Gallup/CNN/USA Today Poll,09/2/1996,11/4/1996,Y,National adult,1200,nan,Telephone Interview,Data is from the 1996 General Election Tracking Survey of independent three day (September) or two day (October-November) tracking results.,53.0,37.0,10.0
