QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USKRC.110788.R03,How would you rate your opinion of Michael Dukakis?,nan,nan,11/7/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/5/1988,11/7/1988,Y,National--Registered voters,1002,nan,Telephone Interview,nan,45.0,44.0,11.0
USKRC.110188.R03,How would you rate your opinion of Michael Dukakis?,nan,nan,11/1/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/30/1988,11/1/1988,Y,National--Registered voters,1002,nan,Telephone Interview,nan,42.0,44.0,14.0
USCBSNYT.8810F.Q103,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",nan,Version I registered voters (75% of Version I),11/1/1988,CBS News; New York Times,nan,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,nan,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.,30.0,43.0,27.0
USKRC.110688.R03,How would you rate your opinion of Michael Dukakis?,nan,nan,11/6/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/4/1988,11/6/1988,Y,National--Registered voters,1002,nan,Telephone Interview,nan,45.0,45.0,10.0
USKRC.110388.R03,How would you rate your opinion of Michael Dukakis?,nan,nan,11/3/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,11/1/1988,11/3/1988,Y,National--Registered voters,1002,nan,Telephone Interview,nan,42.0,43.0,15.0
USKRC.110288.R03,How would you rate your opinion of Michael Dukakis?,nan,nan,11/2/1988,KRC Communications Research,American Political Network and the Hotline,HOTLINE/APN Presidential Poll,10/31/1988,11/2/1988,Y,National--Registered voters,1002,nan,Telephone Interview,nan,41.0,43.0,16.0
USLAT.88EXIT.RAM,"(Mark an 'X' to show your general attitude toward each of the following.) As of today, what is your impression of... Michael Dukakis.",nan,nan,11/8/1988,Los Angeles Times,Los Angeles Times; Cable News Network (CNN),Los Angeles Times/Cable News Network Exit Poll 1988,11/8/1988,11/8/1988,Y,Exiting Voters,6043,nan,Mail Questionnaire/Self-enumerated questionnaire,nan,46.0,46.0,8.0
USCBSNYT.8810F.Q203,"(Asked of Version II registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",nan,Version II registered voters (79% of Version II),11/1/1988,CBS News; New York Times,nan,CBS News/New York Times Poll,10/31/1988,11/2/1988,Y,National adult,1690,nan,Telephone Interview,There were two versions of the questionnaire in this study. Version 1 had 1089 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 601 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.,30.0,42.0,29.0
USCPS.88POST.QB01B,"(I'd like to get your feelings toward some of our political leaders and other people who are in the news these days. I'll read the name of a person and I'd like you to rate that person using something we call the feeling thermometer. Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward that person. Ratings between 0 degrees and 50 degrees mean that you don't feel favorable toward the person and that you don't care too much for that person. You would rate the person at the 50 degree mark if you don't feel particularly warm or cold toward the person. If we come to a person whose name you don't recognize, you don't need to rate that person. Just tell me and we'll move on to the next one.)... Michael Dukakis. How would you rate him using the feeling thermometer?",Mean = 52.85. * = less than .5 percent,nan,12/1/1989,"Survey Research Center at University of Michigan (ANES American National Election Studies); Center for Political Studies, University of Michigan",National Science Foundation,American National Election Study 1988 (Post-Election),11/8/1988,01/30/1989,Y,National adult,1775,nan,Face-to-face interview,"The respondents were originally interviewed in the pre-election study of 2040 adults conducted September 6-November 7, 1988.",42.0,56.0,2.0
USNBCWSJ.110688.R06,"In general, do you have a favorable or an unfavorable opinion of Michael Dukakis?",nan,nan,11/6/1988,NBC News; Wall Street Journal,nan,NBC News/Wall Street Journal Poll,11/1/1988,11/5/1988,Y,National--Likely voters,1721,nan,Telephone Interview,nan,42.0,46.0,12.0
USCBSNYT.8810G.Q103,"(Asked of Version I registered voters) Is your opinion of Michael Dukakis favorable, not favorable, undecided, or haven't you heard enough about Michael Dukakis yet to have an opinion?",nan,Version I registered voters (78% of Version I),11/1/1988,CBS News; The New York Times; The George Fine Research Firm,CBS News; New York Times,CBS News/New York Times Poll,11/1/1988,11/3/1988,Y,National adult,1862,nan,"Telephone Interview, Landline",There were two versions of the questionnaire in this study. Version 1 had 588 respondents and the interviewing was done by the George Fine Research Firm. Version 2 had 1274 respondents and the interviewing was done by CBS News/ New York Times. Some questions appeared in both versions.,30.0,43.0,27.0
