QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USCBSNYT.76JUNE.Q17B,"(Now I'm going to name some of the possible presidential (election) candidates (1976) and ask what you think of them.  Some people tell us that they have not heard much about some of these candidates.  So, if you haven't heard much about someone I name, just tell me.) Do you have a favorable or unfavorable opinion about...Gerald Ford or don't you know enough about him to have an opinion?",nan,nan,06/30/1976,CBS News; New York Times,nan,CBS News/New York Times Poll,06/15/1976,06/20/1976,Y,National Adult,1454,nan,Telephone Interview,nan,52.0,34.0,14.0
USCPS.80PREE.QG01E,"(I'd like to get your feelings toward some of our political leaders and other people who are in the news these days. I'll read the name of a person and I'd like you to rate that person using this feeling thermometer. You may use any number from 0 to 100 for a rating. Ratings between 50 and 100 degrees mean that you feel favorable and warm toward the person. Ratings between 0 and 50 degrees mean that you don't feel too favorable toward the person. If we come to a person whose name you don't recognize, you don't need to rate that person. Just tell me and we'll move on to the next one. If you do recognize the name, but don't feel particularly warm or cold toward the person, you would rate that person at the 50 degree mark.)... Gerald Ford. How would you rate him using the thermometer?",Mean = 59.09. * = less than .5 percent,nan,08/1/1982,"Survey Research Center at University of Michigan (ANES American National Election Studies); Center for Political Studies, University of Michigan",National Science Foundation (NSF),American National Election Study 1980 (Pre-Election),09/2/1980,11/3/1980,Y,National adult,1614,nan,Face-to-face interview,"A post-election survey with re-interviews of 1408 (87%) of the pre-election respondents was conducted November 4, 1980-February 7, 1981.",63.0,36.0,2.0
USLAT.13.R30,"What is your impression of....Former President Gerald Ford? As of today, is it very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable--or, haven't you heard enough about him yet to say?",* = less than .5 percent,Registered voters (62%),12/1/1978,Los Angeles Times,nan,Los Angeles Times Poll,12/1/1978,12/12/1978,Y,National Adult,1978,nan,Telephone Interview,Study contains comparative responses from a New Hampshire sample.,64.0,30.0,6.0
USCAMREP.76OCT.R330,"I'm going to read you some names. After each name, I'd like you to tell me whether you have a generally favorable or unfavorable opinion of that person. If you have never heard of someone, please just say so....Gerald Ford",nan,nan,10/1/1976,Cambridge Reports/Research International,nan,Cambridge Reports/National Omnibus Survey,10/1/1976,10/31/1976,N,National adult,1500,nan,Face-to-face interview,Sample size is approximate.,60.0,30.0,11.0
USGALLUP.1239.Q50D,You will notice that the 10 boxes on this card go from the highest position of plus five--for someone you have a very FAVORABLE opinion of--all the way down to the lowest position of minus five--for someone you have a very UNFAVORABLE opinion of. How far up the scale or how far down the scale would you rate the following? Gerald Ford,nan,nan,07/30/1984,Gallup Organization,nan,Gallup Poll (AIPO),07/27/1984,07/30/1984,Y,National Adult,1579,nan,Face-to-face interview,nan,67.0,29.0,5.0
USCBSNYT.76MAR.R03E,"(Now I'm going to name some possible (1976) presidential candidates and ask what you think of them. Some people tell us that they have not heard much about some of these candidates--so if you haven't heard much about someone I name, just tell me.) Do you have a favorable or unfavorable opinion about...Gerald Ford... or don't you know enough about him to have an opinion?",nan,nan,03/1/1976,CBS News; New York Times,nan,CBS News/New York Times Poll,03/18/1976,03/24/1976,Y,National adult,1524,nan,Telephone Interview,nan,55.0,35.0,10.0
USCAMREP.80APR.R243,"(I'm going to read you some names. After each name, I'd like you to tell me whether you have a generally favorable or unfavorable opinion of that person. If you have never heard of someone, please just say so.)...Gerald Ford",nan,nan,04/1/1980,Cambridge Reports/Research International,nan,Cambridge Reports National Omnibus Survey,04/1/1980,04/30/1980,N,National adult,1500,nan,Face-to-face interview,Sample size is approximate.,49.0,37.0,15.0
USCBSNYT.042276.R04E,"(Now I'm going to name some possible presidential candidates and ask you what you think of them. Some people tell us that they have not heard much about some of these candidates--so if you haven't heard much about someone I name, just tell me.) Do you have a favorable or unfavorable opinion about...Gerald Ford... or don't you know enough about him to have an opinion?",nan,nan,04/22/1976,CBS News; New York Times,nan,CBS News/New York Times Poll,04/10/1976,04/15/1976,Y,National adult,1464,nan,Telephone Interview,nan,52.0,33.0,15.0
USCBSNYT.031780.R14,"Do you have a favorable or not favorable opinion about Gerald Ford, or don't you know enough about him to have an opinion?",nan,nan,03/17/1980,CBS News; New York Times,nan,CBS News/New York Times Poll,03/12/1980,03/15/1980,Y,National Adult,1468,nan,Telephone Interview,nan,55.0,25.0,19.0
USGALLUP.1269.Q10C,You will notice that the 10 boxes on this card go from the highest position of plus five--for someone you have a very FAVORABLE opinion of--all the way down to the lowest position of minus five--for someone you have a very UNFAVORABLE opinion of. How far up the scale or how far down the scale would you rate the following: Gerald Ford.,nan,nan,10/27/1986,Gallup Organization,nan,Gallup Poll (AIPO),10/24/1986,10/27/1986,Y,National Adult,1559,nan,Face-to-face interview,nan,74.0,23.0,4.0
