QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USODFOX.070110.R08,"(I'm going to read you the names of several individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of someone, please just say so.)...Al Gore",nan,nan,07/1/2010,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,06/29/2010,06/30/2010,Y,National registered voters,900,nan,Telephone Interview,nan,47.0,43.0,9.0
USASFOX.101816.R07,(I'm going to read you the names of several individuals. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so.)...Al Gore...Is that strongly favorable/unfavorable or only somewhat?,nan,nan,10/18/2016,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,10/15/2016,10/17/2016,Y,National registered voters,1011,nan,Telephone Interview,"418 respondents were interviewed on a landline telephone, and 593 were interviewed on a cell phone. Interviews were conducted by Braun Research.",47.0,43.0,10.0
USORC.120709A.R04F,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Al Gore",nan,nan,12/7/2009,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,12/2/2009,12/3/2009,Y,National adult,1041,Q4F,Telephone Interview,nan,52.0,42.0,6.0
USAP.041708.R05F,"(For each of the following individuals, please select if you have a favorable or unfavorable impression of that person.  If you don't know enough about the person to have an opinion, you can say that too.)...Al Gore...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, don't know enough to say",nan,nan,04/17/2008,Knowledge Networks,Associated Press; Yahoo,Associated Press/Yahoo Poll,04/2/2008,04/14/2008,Y,National adult,1844,nan,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel, which is randomly selected from the entire national adult population and subsequently provided Internet access, if needed.",50.0,40.0,10.0
USGREEN.08RELIGR.R027,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold unfavorable feeling, and fifty meaning not particularly warm or cold.  You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion or never heard of that person or organization, please say so.)...Al Gore...Give...Al Gore a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are  unable to give an opinion of...Al Gore, or have you never heard of...Al Gore?",Mean = 52,Asked of Form B half sample,10/22/2008,Greenberg Quinlan Rosner Research,Religion & Ethics Newsweekly; United Nations Foundation,Religion & Ethics Newsweekly/United Nations Foundation Religion and America's Role in the World Survey,09/4/2008,09/21/2008,Y,National adult,1400,nan,Telephone Interview,nan,46.0,37.0,17.0
USASFOX.040215A.R12,(I'm going to read you the names of several individuals. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so.)...Al Gore,nan,nan,04/2/2015,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,03/29/2015,03/31/2015,Y,National registered voters,1025,nan,Telephone Interview,"637 respondents were interviewed on a landline telephone, and 388 were interviewed on a cell phone. Interviews were conducted by Braun Research.",41.0,49.0,10.0
USGALLUP.10JLY0008.R28D,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...Al Gore?",nan,nan,07/14/2010,Gallup Organization,nan,Gallup Poll,07/8/2010,07/11/2010,Y,National adult,1020,Q28D,"Telephone Interview, Cell Phone; Telephone Interview, Landline",Interviews were conducted with respondents on landline telephones and cellular phones.,44.0,49.0,8.0
USPSRA.051408C1.RP01C,"(Now I'd like your views on some people.  As I read some names, please tell me if you have a favorable or unfavorable opinion of each person.)...Al Gore...Would you say your overall opinion of...Al Gore is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",nan,nan,05/14/2008,Princeton Survey Research Associates International,Pew Research Center for the People & the Press; Pew Forum on Religion & Public Life,Pew Research Center for the People & the Press Favorability Survey,04/23/2008,04/30/2008,Y,National adult,1000,nan,Telephone Interview,nan,53.0,36.0,11.0
USODFOX.043008.R08,(I'm going to read you the names of several individuals and groups.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've  never heard of someone please just say so.)...Al Gore,nan,nan,04/30/2008,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,04/28/2008,04/29/2008,Y,National registered voters,900,nan,Telephone Interview,nan,48.0,42.0,10.0
USORC.082508.R06G,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Al Gore",* = less than .5%.,Registered voters in Form A half sample,08/25/2008,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,08/23/2008,08/24/2008,Y,National adult,1023,Q6G,Telephone Interview,nan,56.0,38.0,6.0
