QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USPSRNEW.101604.R06B,"(Next, please tell me if you have a favorable or unfavorable opinion of the following people in politics.  If I mention someone you had never heard of before this interview, just tell me.) What about...John Kerry?  Do you have a favorable or unfavorable opinion of him?",* = less than .5%.,Registered voters,10/16/2004,Princeton Survey Research Associates International,Newsweek,Princeton Survey Research Associates International/Newsweek Poll,10/14/2004,10/15/2004,Y,National adult,1123,Q6B,Telephone Interview,nan,51.0,44.0,5.0
USSRBI.101604.R07A,"Please tell me if you have a favorable opinion of...John Kerry.  If you don't have an opinion of this candidate, just let me know.",nan,Registered voters,10/16/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/14/2004,10/15/2004,Y,National adult,1131,Q7_1,Telephone Interview,nan,48.0,37.0,14.0
USSRBI.102204.R07A,Please tell me if you have a favorable or unfavorable opinion of...John Kerry.,nan,Registered voters,10/22/2004,"Schulman, Ronca & Bucuvalas, Inc.",Time Magazine,Time/SRBI Poll,10/19/2004,10/21/2004,Y,National adult,1200,Q7_1,Telephone Interview,nan,45.0,42.0,13.0
USLAT.04SEPT30.R12P,"What is your impression of John Kerry?  As of today , is it very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, or haven't you heard enough about him to say?",* = less than .5%.,nan,10/31/2004,Los Angeles Times,nan,Los Angeles Times Poll,09/30/2004,10/1/2004,Y,National registered voters who watched the first presidential debate,725,PRES2,Telephone Interview,"Respondents were originally interviewed September 25-28, 2004 and agreed to be reinterviewed.",57.0,41.0,2.0
USWG.04NOV02.R08,"(Please tell me for each of the following whether you have a favorable or an unfavorable impression of that group or person.)...John Kerry...(If Favorable/Unfavorable, ask:) Would you say you have a strongly favorable/unfavorable impression or just a somewhat favorable/unfavorable impression?",nan,nan,11/30/2004,Winston Group,New Models,New Models National Brand Poll,11/2/2004,11/2/2004,Y,National registered voters who voted in the 2004 Presidential election,1000,nan,Telephone Interview,nan,49.0,49.0,2.0
USSELZER.092415.R07A,"Now, I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so....John Kerry, US secretary of state",nan,nan,09/24/2015,Selzer & Co.,Bloomberg News,Bloomberg Poll,09/18/2015,09/21/2015,Y,National adult,1001,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,41.0,39.0,19.0
USGREEN.04DCSP26.R14,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold.  You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization.  If you have no opinion or never heard of that person or organization, please say so.)...John Kerry...Give...John Kerry a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold.  (If Don't know, ask:) Would you say you are unable to give an opinion of...John Kerry, or have you never heard of...John Kerry?",* Mean = 47.0,nan,09/28/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,09/26/2004,09/28/2004,Y,National registered likely voters,1000,nan,Telephone Interview,"National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote, or who didn't vote in the 2000 election, but did vote in the 2002 election, and said they will probably vote or are almost certain to vote in the 2004 presidential election.",43.0,45.0,14.0
USCBSNYT.100404.R02,"Is your opinion of John Kerry favorable, not favorable, undecided, or haven't you heard enough about John Kerry yet to have an opinion?",nan,Registered voters,10/4/2004,CBS News; New York Times,nan,CBS News/New York Times Poll,10/1/2004,10/3/2004,Y,National adult,979,nan,Telephone Interview,nan,40.0,41.0,19.0
USGREEN.04DCOCT17.R34,"Has what you have heard about John Kerry in the past couple days made you feel more favorable or less favorable in your opinion of him? (If More/Less favorable, ask:) (Is that much more/less favorable or somewhat more/less favorable?)",nan,nan,10/18/2004,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/17/2004,10/18/2004,Y,National registered likely voters,1001,nan,Telephone Interview,National registered likely voters are registered voters who voted in the 2000 presidential election/were ineligible/too young to vote or who didn?t vote in the 2000 election but did not vote in the 2002 election and said they will probably or are almost certain to vote in the 2004 presidential election.,36.0,36.0,28.0
USABC.2004ELETRACKO13.Q006B,"Regardless of how you might vote (for president in 2004)/who you voted for, please tell me if you have a favorable or unfavorable impression of...John Kerry or perhaps you don't know enough to say.",nan,Asked of Registered voters who are absolutely certain they are registered to vote in the 2004 presidential election/already voted,10/31/2004,TNS Intersearch,ABC News; Washington Post,ABC News Poll,10/1/2004,11/1/2004,Y,National adult,21265,nan,Telephone Interview,"ABC News and the Washington Post are sharing data collection for this tracking poll, then independently applying their own models to arrive at likely voters estimates.  Interviews were conducted by TNS Intersearch.  ABC News defines Likely Voters as Registered voters who are absolutely certain they will vote in the 2004 presidential election/already voted.",45.0,44.0,11.0
