QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USORC.102213.R05E,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",nan,nan,10/22/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,10/18/2013,10/20/2013,Y,National adult,841,Q5F,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 596 interviews among landline respondents and 245 interviews among cell phone respondents.,48.0,42.0,10.0
31121013.00016,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",nan,nan,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,nan,Web-based survey,nan,46.0,30.0,24.0
USTARR.082417.R03,"Now I'd like to read you the names of several individuals. For each one, please tell me whether you have heard of that person and if so, whether you have a favorable or an unfavorable impression of them. If you do not recognize the name, just say so....John McCain...Would that be a strongly favorable/unfavorable impression or just a somewhat favorable/unfavorable impression?",nan,nan,08/24/2017,Tarrance Group; Lake Research Partners,George Washington University,George Washington University Battleground Poll,08/13/2017,08/17/2017,Y,National registered voters,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,54.0,35.0,11.0
USPSRA.022217.R84DF1,"Is your overall opinion of...John McCain very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",nan,Asked of Form 1 half sample,02/22/2017,Princeton Survey Research Associates International,Pew Research Center,Pew Research Center for the People & the Press Poll,02/7/2017,02/12/2017,Y,National adult,1503,Q84DF1,"Telephone Interview, Cell Phone; Telephone Interview, Landline","377 respondents were interviewed on a landline telephone, and 1126 were interviewed on a cell phone, including 680 who had no landline telephone.",57.0,32.0,11.0
USASFOX.083017.R16,(I'm going to read you the names of several individuals and items. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so.)...John McCain...Is that strongly favorable/unfavorable or only somewhat?,nan,nan,08/30/2017,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,08/27/2017,08/29/2017,Y,National registered voters,1006,nan,Telephone Interview,"422 respondents were interviewed on a landline telephone, and 584 were interviewed on a cell phone. Interviews were conducted by Braun Research.",55.0,37.0,7.0
USORC.011911A.R07F,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",nan,nan,01/19/2011,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,01/14/2011,01/16/2011,Y,National adult,1014,Q7F,Telephone Interview,nan,54.0,39.0,7.0
USORC.031813.R04B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",nan,nan,03/18/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,03/15/2013,03/17/2013,Y,National adult,1021,Q4J,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 716 interviews among landline respondents and 305 interviews among cell phone respondents.,46.0,42.0,12.0
USSSRS.121917CNN.R03A,"We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....John McCain",nan,nan,12/19/2017,Social Science Research Solutions,Cable News Network (CNN),CNN Poll,12/14/2017,12/17/2017,Y,National adult,600,FV1_JM,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)",The sample included 401 interviews among landline respondents and 600 interviews among cell phone respondents.,54.0,30.0,15.0
USQUINN.080217.R10,"Is your opinion of John McCain favorable, unfavorable or haven't you heard enough about him?",nan,nan,08/2/2017,Quinnipiac University Polling Institute,nan,Quinnipiac University Poll,07/17/2017,08/1/2017,Y,National registered voters,1125,nan,Telephone Interview,The interviews included landline and cell phones.,57.0,32.0,12.0
USGALLUP.201307.Q08D,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)  How about...Arizona senator, John McCain?",nan,nan,06/30/2013,Gallup Organization,nan,Gallup Poll,06/1/2013,06/4/2013,Y,National adult,1529,Q8D,"Telephone Interview, Cell Phone; Telephone Interview, Landline",Interviews were conducted with respondents on landline telephones and cellular phones.  The sample includes 50% landline and 50% cell phone respondents.,52.0,39.0,10.0
