QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USPENN.85JAN.R05,"(For each of the following people, please tell me if you know the person and if so, whether you are very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable towards the person.)... Walter Mondale",nan,nan,01/28/1985,Penn & Schoen Associates,nan,Garth Analysis Survey,12/29/1984,01/3/1985,Y,National registered voters,1000,nan,Telephone Interview,nan,45.0,48.0,7.0
USYANK.855714.Q29D,"Now, I would like to ask you about other political figures. As I read each name, please tell me whether you have a FAVORABLE opinion of that person, an UNFAVORABLE opinion, or are not familiar with that person at all. Walter Mondale.",nan,nan,05/2/1985,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",05/1/1985,05/3/1985,Y,Registered voters,1014,nan,Telephone Interview,nan,39.0,49.0,12.0
USCBSNYT.111884.R14D,"(I'm going to name some public figures and ask you what you think of them. If you haven't heard of someone I name, just tell me.) Is your opinion of...Walter Mondale...favorable, not favorable, undecided, or haven't you heard enough about...Walter Mondale...yet to have an opinion?",Responses of non-voters also shown in release,Voted in '84 election (75%),11/18/1984,CBS News; New York Times,nan,CBS News/New York Times Poll,11/8/1984,11/14/1984,Y,National Adult,1994,nan,Telephone Interview,"Re-interviews with a national adult sample first interviewed in October 31-November 2, 1984.",36.0,46.0,18.0
USCAMREP.77OCT.R229,"(I'm going to read you some names. After each name, I'd like you to tell me whether you have a generally favorable or unfavorable opinion of that person. If you have never heard of someone, please just say so.)...Walter Mondale",nan,nan,10/1/1977,Cambridge Reports/Research International,nan,Cambridge Reports/National Omnibus Survey,10/1/1977,10/31/1977,N,National adult,1500,nan,Face-to-face interview,Sample size is approximate.,47.0,19.0,34.0
USYANK.818608.Q09AI,"Now I'd like to know how you feel about some of the prominent people in Washington these days. Is your general opinion of Former Vice-President, Walter Mondale favorable or unfavorable or don't you have an impression one way or the other ?",nan,nan,09/17/1981,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/15/1981,09/17/1981,Y,Registered voters,1222,nan,Telephone Interview,nan,47.0,19.0,34.0
USCBSNYT.022784.R7G,"(I'm going to name some presidential candidates and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Is your opinion of Walter Mondale, favorable, not favorable, undecided, or haven't you heard enough about Walter Mondale yet to have an opinion?",Based on responses of registered voters = 71%,Registered voters response,02/27/1984,CBS News; New York Times,nan,CBS News/New York Times Poll,02/21/1984,02/25/1984,Y,National adult,1410,nan,Telephone Interview,nan,40.0,31.0,29.0
USCBSNYT.080980.R04E,"(I'm going to name some people and ask what you think of them. If you haven't heard much about someone I name, just tell me.) Do you have a favorable or not favorable opinion about...Walter Mondale..., or don't you know enough about him to have an opinion?",nan,nan,08/9/1980,CBS News; New York Times,nan,CBS News/New York Times Poll,08/2/1980,08/7/1980,Y,National Adult,1769,nan,Telephone Interview,nan,35.0,22.0,43.0
USCBSNYT.070284.R07E,"Is your opinion of Walter Mondale favorable, not favorable, undecided, or haven't you heard enough about Walter Mondale yet to have an opinion?",nan,Registered voters (72%),07/2/1984,CBS News; New York Times,nan,CBS News/New York Times Poll,06/23/1984,06/28/1984,Y,National Adult,1593,nan,Telephone Interview,nan,37.0,36.0,27.0
USCAMREP.83OCT.R165,"(I'm going to read you some names. After each name, I'd like you to tell me whether you have a generally favorable or unfavorable opinion of that person. If you have never heard of someone, please just say so.)...Walter Mondale",nan,nan,10/1/1983,Cambridge Reports/Research International,nan,Cambridge Reports National Omnibus Survey,10/1/1983,10/31/1983,N,National adult,1500,nan,Face-to-face interview,Sample size is approximate.,39.0,31.0,29.0
USCAMREP.84JUL.R158,"(I'm going to read you some names. After each name, I'd like you to tell me whether you have a generally favorable or unfavorable opinion of that person. If you have never heard of someone, please just say so.)...Walter Mondale",nan,nan,07/1/1984,Cambridge Reports/Research International,nan,Cambridge Reports National Omnibus Survey,07/1/1984,07/31/1984,N,National adult,1500,nan,Face-to-face interview,Sample size is approximate.,37.0,40.0,26.0
