QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USASFOX.121416.R08,(I'm going to read you the names of several individuals. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so.)...Barack Obama...Is that strongly favorable/unfavorable or only somewhat?,nan,nan,12/14/2016,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,12/11/2016,12/13/2016,Y,National registered voters,544,Q7,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)","426 respondents were interviewed on a landline telephone, and 608 were interviewed on a cell phone. Interviews were conducted by Braun Research.",57.0,42.0,1.0
31119622.00015,"(How favorable or unfavorable is your opinion of the following?...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable)...Barack Obama",nan,nan,06/14/2022,Ipsos,FiveThirtyEight,"After several mass shootings, gun violence and crime rises in importance for Americans - 2nd release",05/26/2022,06/6/2022,Y,National adult,1691,nan,Web-based survey,nan,52.0,40.0,8.0
USPRRI.011018Y.R04A,"Now, please report whether your overall opinion of each of the following is very favorable, mostly favorable, mostly unfavorable, or very unfavorable...Barack Obama",* = less than .5 percent,nan,01/10/2018,PRRI,MTV,PRRI/MTV National Youth Survey,07/19/2017,08/3/2017,Y,National adult age 15-24,2023,nan,Web-based survey,"The poll was fielded by GfK Knowledge Networks using its national YouthPulse panel. The initial sample drawn from the YouthPulse panel was adjusted using pre-stratification weights so that it approximates the overall population (15 to 24 year olds) in the US defined by the latest Current Population Survey.  Next, a probability proportional to size sampling scheme was used to select a representative sample. Once assigned to the survey, panel participants received an email notification reminder on day four, seven and twelve of the field period. The YouthPulse panel is a nationally representative probability sample of teens and young adults age 15 to 24 years old. Panelists are recruited by randomly selecting residential addresses using a process called address-based sampling. Participants under the age of 18 were included in the panel following the receipt of parental consent. Unlike opt-in panels, households are not permitted to ""self-select"" into the panel; and are generally limited to how many surveys they can take within a given time period.",70.0,28.0,1.0
USGREEN.071316.R017,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold. You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion or never heard of that person or organization, please say so.)...Barack Obama...Give...Barack Obama a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...Barack Obama, or have you never heard of...Barack Obama?",Mean=53.2,nan,07/13/2016,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,06/23/2016,06/28/2016,Y,National likely voters,900,nan,Telephone Interview,Likely voters are registered voters who voted in the 2012 election/weren't registered/ineligible/too young to vote and said they are probably/almost certain/50-50 to vote in the 2016 election.,54.0,40.0,6.0
31120011.00014,(Do you have a favorable or an unfavorable opinion of the following people or haven't you heard enough yet to have an opinion?)...Barack Obama,* = Less than .5 percent.,nan,11/29/2022,SSRS,Marquette Law School,New Marquette Law School Poll national survey finds rise in support for DeSantis candidacy for president and a tie in a possible Biden-DeSantis race,11/15/2022,11/22/2022,Y,National adult,1004,nan,Web-based survey,nan,62.0,34.0,4.0
USGALLUP.110816.R01A,"(I'd like you to rate...Barack Obama on a scale. If you have a favorable opinion of him, name a number between plus one and plus five--where a plus five is the highest position indicating you have a very favorable opinion of him. If you have an unfavorable opinion, name a number between minus one and minus five where minus five is the lowest position--indicating you have a very unfavorable opinion of him.)?",nan,Asked of half sample,11/8/2016,Gallup Organization,nan,Gallup Poll,11/2/2016,11/5/2016,Y,National adult,1033,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 40% landline and 60% cell phone respondents.,57.0,41.0,1.0
31118720.00094,"(I'd like to get your feelings toward some of our political leaders and other people who are in the news these days. I'll read the name of a person and I'd like you to rate that person using something we call the feeling thermometer. Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the person. Ratings between 0 degrees and 50 degrees mean that you don't feel favorable toward the person and that you don't care too much for that person. You would rate the person at the 50 degree mark if you don't feel particularly warm or cold toward the person. If we come to a person whose name you don't recognize, you don't need to rate that person. Just tell me and we'll move on to the next one.)...How would you rate...Barack Obama? (If Don't know, ask:) When you say don't know, do you mean that you don't know who the person is, or do you have something else in mind?",nan,nan,11/1/2016,"Center for Political Studies at the Institute for Social Research, University of Michigan, with data collection by Westat",American National Election Studies (ANES); Survey Research Center at the University of Michigan,American National Election Studies: 2016 Pre-Election Survey - B,09/7/2016,11/7/2016,Y,National adult,3090,nan,Face-to-face interview; Web-based survey; Computer-assisted personal interview (CAPI),nan,55.0,45.0,3.0
USTIPP.090216.R05,"Now moving on to the topic of presidential leadership. Overall, is your opinion of Barack Obama generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?",nan,nan,09/2/2016,TIPP--Techno Metrica Institute of Policy and Politics,Investor's Business Daily,TIPP/Investor's Business Daily Poll,08/26/2016,09/1/2016,Y,National adult,934,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 35% landline and 65% cell phone respondents.,50.0,44.0,6.0
USSELZER.071817.R03D,"(Now, I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so.)...Barack Obama, former president of the United States",nan,nan,07/18/2017,Selzer & Co.,Bloomberg News,Bloomberg Poll,07/8/2017,07/12/2017,Y,National adult,1001,nan,Telephone Interview,Interviews were conducted by lndline and cell phones.,61.0,36.0,4.0
USSRBI.033117P.R12D,"What is your overall opinion of...Barack Obama?...Very favorable, mostly favorable, very unfavorable, mostly unfavorable",nan,nan,03/31/2017,Abt SRBI,Pew Research Center,Pew Research Center's American Trends Panel Poll,02/28/2017,03/12/2017,Y,National adult (2066 panelists completed by web and 1778 panelists completed by phone),1778,QFAVD_W2,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey","2066 respondents were interviewed online and 1778 by telephone. 
The American Trends Panel (ATP), created by the Pew Research Center, is a nationally representative panel of randomly selected US adults living in households. Respondents who self-identify as Internet users (representing 89% of US adults) participate in the panel via monthly self-administered Web surveys, and those who do not use the Internet participate via telephone or mail. The panel is being managed by Abt SRBI. Question wording in this topline is that from the web version of the survey. Question wording and format was adapted for the paper questionnaire delivered by mail.",60.0,39.0,1.0
