QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USORC.100312.R05,Do you have a favorable or unfavorable opinion of Mitt Romney?,nan,nan,10/3/2012,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,10/3/2012,10/3/2012,Y,National adults who watched the debate,430,Q105,"Telephone Interview, Cell Phone; Telephone Interview, Landline","The sample included 362 interviews among landline respondents and 68 interviews among cell phone respondents.  The respondents were first interviewed as part of a national sample on September 28-October 2, 2012, and the respondent indicated they planned to watch the debate and were willing to be re-interviewed after the debate.",56.0,42.0,2.0
USASFOX.092712.R06,"(I'm going to read you the names of several groups and individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each.  If you've never heard of one, please just say so.)...Mitt Romney",nan,nan,09/27/2012,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,09/24/2012,09/26/2012,Y,Registered voters,339,Q6,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)","814 respondents were interviewed on a landline telephone, and 394 were interviewed on a cell phone. Interviews were conducted by Braun Research.",46.0,48.0,6.0
USTARR.12BATT6.R08,"(Now I would like to read you the names of several individuals.  For each one, please tell me whether you have heard of that person and if so, whether you have a favorable or an unfavorable impression of that person.  If you do not recognize the name, just say so.)...Mitt Romney...(If Favorable/Unfavorable, ask:) Would that be a strongly favorable/unfavorable impression or just a somewhat favorable/unfavorable impression?",nan,nan,12/9/2012,Tarrance Group; Lake Research Partners,Politico; George Washington University,Politico/George Washington University Battleground 2012 Survey,12/2/2012,12/6/2012,Y,National likely voters,1000,nan,Telephone Interview,Likely voters are registered voters who said they are somewhat/very/extremely likely to vote in 2014.,47.0,47.0,7.0
USQUINN.100212.R02,"Is your opinion of Mitt Romney favorable, unfavorable or haven't you heard enough about him?",nan,nan,10/2/2012,Quinnipiac University Polling Institute,nan,Quinnipiac University Poll,09/25/2012,09/30/2012,Y,National likely voters,1912,nan,Telephone Interview,The interviews included landline and cell phones.,45.0,48.0,7.0
USABCWP.110412.R11B,"Overall, do you have a favorable or unfavorable view of...Mitt Romney? (If Favorable/Unfavorable, ask:) Do you feel that way strongly or somewhat?",nan,Likely voters,11/4/2012,ABC News; Washington Post,nan,ABC News/Washington Post Poll,10/30/2012,11/2/2012,Y,National adult,2487,nan,Telephone Interview,The survey was produced for ABC News by Langer Research Associates.  Interviews were conducted by Abt SRBI.  The interviews included landline and cell-phone-only respondents.,53.0,53.0,45.0
USABCWP.110412.R11B,"Overall, do you have a favorable or unfavorable view of...Mitt Romney? (If Favorable/Unfavorable, ask:) Do you feel that way strongly or somewhat?",nan,Likely voters,11/4/2012,ABC News; Washington Post,nan,ABC News/Washington Post Poll,10/30/2012,11/2/2012,Y,National adult,2487,nan,Telephone Interview,The survey was produced for ABC News by Langer Research Associates.  Interviews were conducted by Abt SRBI.  The interviews included landline and cell-phone-only respondents.,53.0,45.0,3.0
USGALLUP.110112.R01B,"Next, I'd like you to rate...(Mitt) Romney on a scale.  If you have a favorable opinion of him, name a number between plus one and plus five--where a plus five is the highest position indicating you have a very favorable opinion of him.  If you have an unfavorable opinion, name a number between minus one and minus five where minus five is the lowest position--indicating you have a very unfavorable opinion of him.  How far up or down the scale would you rate...Romney?",nan,nan,11/1/2012,Gallup Organization,nan,Gallup Poll,10/27/2012,10/28/2012,Y,National adult,1064,E25A,"Telephone Interview, Cell Phone; Telephone Interview, Landline",Interviews were conducted with respondents on landline telephones and cellular phones.,55.0,43.0,2.0
USSELZER.061516.R04C,"(Now, I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so.)...Mitt Romney, former Republican nominee for president of the United States",nan,nan,06/15/2016,Selzer & Co.,Bloomberg News,Bloomberg Poll,06/10/2016,06/13/2016,Y,National adult,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones. Questions asked June 13 about the Orlando mass shooting included 258 respondents from the main sample and 150 from a supplemental sample.,36.0,51.0,12.0
USPSRA.102912.R16B,"Is your overall opinion of...Mitt Romney very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",* = less than .5%.,nan,10/29/2012,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political Survey,10/24/2012,10/28/2012,Y,National adult,2008,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline","1204 respondents were interviewed on a landline telephone, and 804 were interviewed on a cell phone, including 433 who had no landline telephone.",44.0,49.0,6.0
USGREEN.12DCNOV.R17,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold. You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion or never heard of that person or organization, please say so.)...Mitt Romney...Give...Mitt Romney a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...Mitt Romney, or have you never heard of...Mitt Romney?",Mean = 48.0,nan,11/5/2012,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,11/1/2012,11/4/2012,Y,National likely voters,1080,nan,Telephone Interview,Likely voters are registered voters who voted in the 2008 election/weren't registered/ineligible/too young to vote and said they are probably or almost certain to vote in the 2012 election or they already voted.,46.0,43.0,11.0
