QuestionID,QuestionText,BegDate,EndDate,Responses,isValid
USROPER.40-021.R15BC,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the foreign policy we should pursue,09/1/1940,09/30/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '47'}, {'ResponseText': 'Willkie', 'ResponsePct': '42'}, {'ResponseText': ""Don't know"", 'ResponsePct': '11'}]",True
USGALLUP.40-206.Q5A,"AS IT LOOKS NOW, DO YOU INTEND TO VOTE FOR ROOSEVELT OR FOR WILLKIE (FOR PRESIDENT 1940) THIS FALL?",08/11/1940,08/16/1940,"[{'ResponseText': 'ROOSEVELT', 'ResponsePct': '41'}, {'ResponseText': 'WILLKIE', 'ResponsePct': '44'}, {'ResponseText': 'OTHER', 'ResponsePct': '1'}, {'ResponseText': 'Undecided', 'ResponsePct': '14'}]",True
USGALLUP.40-219.QT02B,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",10/26/1940,10/31/1940,"[{'ResponseText': 'Just the man the country needs', 'ResponsePct': '17'}, {'ResponseText': 'Would make a better President than Roosevelt', 'ResponsePct': '29'}, {'ResponseText': ""Hasn't had the right experience to be President"", 'ResponsePct': '31'}, {'ResponseText': 'Election of a man like Mr. Willkie would be a very bad thing for the country', 'ResponsePct': '17'}, {'ResponseText': ""Don't know"", 'ResponsePct': '6'}]",False
USROPER.40-021.R15BE,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... That the rights of labor should be preserved,09/1/1940,09/30/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '57'}, {'ResponseText': 'Willkie', 'ResponsePct': '37'}, {'ResponseText': ""Don't know"", 'ResponsePct': '6'}]",True
USGALLUP.40-209.QT03A,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie... A) Willkie is just the man the country needs for President during the next four years, B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt, C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these, D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country?",09/5/1940,09/10/1940,"[{'ResponseText': 'Willkie just the man the country needs for President', 'ResponsePct': '17'}, {'ResponseText': 'Willkie would make a better President than Roosevelt', 'ResponsePct': '23'}, {'ResponseText': ""Willkie hasn't had the right experience"", 'ResponsePct': '38'}, {'ResponseText': 'Election of a man like Mr. Willkie would be a very bad thing for the country', 'ResponsePct': '15'}, {'ResponseText': ""Don't know"", 'ResponsePct': '8'}]",False
USGALLUP.40-206.Q5C,DO YOU THINK IT WOULD BE A BAD THING FOR THE COUNTRY IF (OPPONENT NOT VOTING FOR PRESIDENT 1940) IS ELECTED (ROOSEVELT OR WILLKIE)?,08/11/1940,08/16/1940,"[{'ResponseText': 'YES, EMPHATIC', 'ResponsePct': '32'}, {'ResponseText': 'Yes', 'ResponsePct': '23'}, {'ResponseText': 'NO, EMPHATIC', 'ResponsePct': '4'}, {'ResponseText': 'No', 'ResponsePct': '21'}, {'ResponseText': ""Don't know"", 'ResponsePct': '20'}]",False
USGALLUP.40-221.Q02B,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/25/1940,10/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '60'}, {'ResponseText': 'Willkie', 'ResponsePct': '26'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '15'}]",False
USGALLUP.40-214.QKT02A,"If the Presidential election were held today, would you vote for Roosevelt, or Willkie, or would you just not vote?",10/7/1940,10/15/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '49'}, {'ResponseText': 'Willkie', 'ResponsePct': '43'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Socialist', 'ResponsePct': '*'}, {'ResponseText': 'Communist', 'ResponsePct': '*'}, {'ResponseText': 'Would not vote', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '7'}]",True
USROPER.40-021.R15AF,Do you think that Roosevelt and Willkie agree... on the best way to solve unemployment... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '9'}, {'ResponseText': 'Disagree', 'ResponsePct': '54'}, {'ResponseText': ""Don't know"", 'ResponsePct': '36'}]",False
USGALLUP.40-221.Q05,"Which candidate for President do you think is more likely to keep us out of war--Roosevelt, or Willkie?",10/25/1940,10/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '35'}, {'ResponseText': 'Willkie', 'ResponsePct': '31'}, {'ResponseText': 'No choice', 'ResponsePct': '34'}]",True
