QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USGALLUP.07FEBR09.R06J,Favorable,69,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...Jimmy Carter?",,,02/16/2007,Gallup Organization,USA Today,Gallup/USA Today Poll,02/9/2007,02/11/2007,Y,National adult,1006,Q6J,Telephone Interview,
USGALLUP.07FEBR09.R06J,Unfavorable,27,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...Jimmy Carter?",,,02/16/2007,Gallup Organization,USA Today,Gallup/USA Today Poll,02/9/2007,02/11/2007,Y,National adult,1006,Q6J,Telephone Interview,
USGALLUP.07FEBR09.R06J,Never heard of,2,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...Jimmy Carter?",,,02/16/2007,Gallup Organization,USA Today,Gallup/USA Today Poll,02/9/2007,02/11/2007,Y,National adult,1006,Q6J,Telephone Interview,
USGALLUP.07FEBR09.R06J,No opinion,2,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...Jimmy Carter?",,,02/16/2007,Gallup Organization,USA Today,Gallup/USA Today Poll,02/9/2007,02/11/2007,Y,National adult,1006,Q6J,Telephone Interview,
USORC.060712.R07A,Favorable,54,"We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....Jimmy Carter",,,06/7/2012,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,05/29/2012,05/31/2012,Y,National adult,1009,Q7G,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 756 interviews among landline respondents and 253 interviews among cell phone respondents.
USORC.060712.R07A,Unfavorable,30,"We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....Jimmy Carter",,,06/7/2012,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,05/29/2012,05/31/2012,Y,National adult,1009,Q7G,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 756 interviews among landline respondents and 253 interviews among cell phone respondents.
USORC.060712.R07A,Never heard of,5,"We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....Jimmy Carter",,,06/7/2012,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,05/29/2012,05/31/2012,Y,National adult,1009,Q7G,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 756 interviews among landline respondents and 253 interviews among cell phone respondents.
USORC.060712.R07A,No opinion,12,"We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....Jimmy Carter",,,06/7/2012,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,05/29/2012,05/31/2012,Y,National adult,1009,Q7G,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 756 interviews among landline respondents and 253 interviews among cell phone respondents.
USORC.060315.R04D,Favorable,56,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Jimmy Carter",,,06/3/2015,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,05/29/2015,05/31/2015,Y,National adult,1025,Q4D,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 621 interviews among landline respondents and 404 interviews among cell phone respondents.
USORC.060315.R04D,Unfavorable,30,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Jimmy Carter",,,06/3/2015,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,05/29/2015,05/31/2015,Y,National adult,1025,Q4D,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 621 interviews among landline respondents and 404 interviews among cell phone respondents.
