QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USTARR.103196.R2,Favorable,46,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",,,11/1/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/28/1996,10/31/1996,Y,National likely voters,1000,,Telephone Interview,
USTARR.103196.R2,Unfavorable,44,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",,,11/1/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/28/1996,10/31/1996,Y,National likely voters,1000,,Telephone Interview,
USTARR.103196.R2,No opinion,10,"(Now, I would like to read you the names of some individuals who have been mentioned in the news recently. For each one, please tell me whether you have a favorable or an unfavorable impression of that person. If you do not recognize the name, just say so.)... Bob Dole",,,11/1/1996,The Tarrance Group; Lake Research,Hotline; Tarrance Group; Lake Research,HOTLINE/Battleground Tracking Poll,10/28/1996,10/31/1996,Y,National likely voters,1000,,Telephone Interview,
USABCWP.031599.R08C,Favorable--strongly,27,"(I'm going to read you a few names. For each, please tell me if you have a favorable or unfavorable impression of that person, or perhaps you don't know enough to say.) How about... Elizabeth Dole? (If favorable/unfavorable, ask:) Is that favorable/unfavorable strongly, or only somewhat?",,,03/15/1999,TNS Intersearch,ABC News; Washington Post,ABC News/Washington Post Poll,03/11/1999,03/14/1999,Y,National adult,1515,Q8_3,Telephone Interview,
USABCWP.031599.R08C,Favorable--somewhat,31,"(I'm going to read you a few names. For each, please tell me if you have a favorable or unfavorable impression of that person, or perhaps you don't know enough to say.) How about... Elizabeth Dole? (If favorable/unfavorable, ask:) Is that favorable/unfavorable strongly, or only somewhat?",,,03/15/1999,TNS Intersearch,ABC News; Washington Post,ABC News/Washington Post Poll,03/11/1999,03/14/1999,Y,National adult,1515,Q8_3,Telephone Interview,
USABCWP.031599.R08C,Unfavorable--somewhat,8,"(I'm going to read you a few names. For each, please tell me if you have a favorable or unfavorable impression of that person, or perhaps you don't know enough to say.) How about... Elizabeth Dole? (If favorable/unfavorable, ask:) Is that favorable/unfavorable strongly, or only somewhat?",,,03/15/1999,TNS Intersearch,ABC News; Washington Post,ABC News/Washington Post Poll,03/11/1999,03/14/1999,Y,National adult,1515,Q8_3,Telephone Interview,
USABCWP.031599.R08C,Unfavorable--strongly,9,"(I'm going to read you a few names. For each, please tell me if you have a favorable or unfavorable impression of that person, or perhaps you don't know enough to say.) How about... Elizabeth Dole? (If favorable/unfavorable, ask:) Is that favorable/unfavorable strongly, or only somewhat?",,,03/15/1999,TNS Intersearch,ABC News; Washington Post,ABC News/Washington Post Poll,03/11/1999,03/14/1999,Y,National adult,1515,Q8_3,Telephone Interview,
USABCWP.031599.R08C,No opinion,26,"(I'm going to read you a few names. For each, please tell me if you have a favorable or unfavorable impression of that person, or perhaps you don't know enough to say.) How about... Elizabeth Dole? (If favorable/unfavorable, ask:) Is that favorable/unfavorable strongly, or only somewhat?",,,03/15/1999,TNS Intersearch,ABC News; Washington Post,ABC News/Washington Post Poll,03/11/1999,03/14/1999,Y,National adult,1515,Q8_3,Telephone Interview,
USYANKP.072800.R13H,Favorable,47,"(I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another.)... Elizabeth Dole",,,07/28/2000,"Yankelovich Partners, Inc.",Time Magazine; Cable News Network (CNN),Time/CNN/Yankelovich Partners Poll,07/26/2000,07/27/2000,Y,National adult,1255,Q13H,Telephone Interview,
USYANKP.072800.R13H,Unfavorable,24,"(I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another.)... Elizabeth Dole",,,07/28/2000,"Yankelovich Partners, Inc.",Time Magazine; Cable News Network (CNN),Time/CNN/Yankelovich Partners Poll,07/26/2000,07/27/2000,Y,National adult,1255,Q13H,Telephone Interview,
