QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
USORC.102213.R05E,Favorable,48,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",,,10/22/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,10/18/2013,10/20/2013,Y,National adult,841,Q5F,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 596 interviews among landline respondents and 245 interviews among cell phone respondents.
USORC.102213.R05E,Unfavorable,42,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",,,10/22/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,10/18/2013,10/20/2013,Y,National adult,841,Q5F,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 596 interviews among landline respondents and 245 interviews among cell phone respondents.
USORC.102213.R05E,Never heard of,1,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",,,10/22/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,10/18/2013,10/20/2013,Y,National adult,841,Q5F,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 596 interviews among landline respondents and 245 interviews among cell phone respondents.
USORC.102213.R05E,No opinion,9,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",,,10/22/2013,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,10/18/2013,10/20/2013,Y,National adult,841,Q5F,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 596 interviews among landline respondents and 245 interviews among cell phone respondents.
31121013.00016,Very favorable,12,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
31121013.00016,Somewhat favorable,15,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
31121013.00016,Lean favorable,19,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
31121013.00016,Lean unfavorable,12,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
31121013.00016,Somewhat unfavorable,8,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
31121013.00016,Very unfavorable,10,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
31121013.00016,Never heard of it,3,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...John McCain",,,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,,Web-based survey,
